Unnamed: 0,TAM,DET
First Downs,15,9
Rush-Yds-TDs,33-116-1,22-108-0
Cmp-Att-Yd-TD-INT,13-18-165-2-0,10-26-134-1-2
Sacked-Yards,5-26,4-35
Net Pass Yards,139,99
Total Yards,255,207
Fumbles-Lost,4-3,2-1
Turnovers,3,3
Penalties-Yards,3-25,10-70
Third Down Conv.,5-13,4-14
Fourth Down Conv.,2-2,0-0
Time of Possession,32:11,27:49
