Quarter,Time,Down,ToGo,Location,NWE,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 70 yards, returned by Cordarrelle Patterson for 25 yards (tackle by Ben Niemann and Gehrig Dieter)",0.000,0.280
1,14:55,1,10,NWE 20,0,0,Sony Michel up the middle for 11 yards (tackle by Eric Berry),0.280,1.000
1,14:18,1,10,NWE 31,0,0,Sony Michel up the middle for 1 yard (tackle by Allen Bailey),1.000,0.600
1,13:40,2,9,NWE 32,0,0,Tom Brady pass complete short middle to Rob Gronkowski for 13 yards (tackle by Daniel Sorensen),0.600,1.930
1,13:05,1,10,NWE 45,0,0,Sony Michel right guard for no gain (tackle by Reggie Ragland),1.930,1.380
1,12:28,2,10,NWE 45,0,0,Tom Brady pass complete short right to Rob Gronkowski for 6 yards (tackle by Charvarius Ward),1.380,1.490
1,11:53,3,4,KAN 49,0,0,James White right tackle for 5 yards (tackle by Jordan Lucas and Anthony Hitchens),1.490,2.650
1,11:17,1,10,KAN 44,0,0,Sony Michel up the middle for 4 yards (tackle by Reggie Ragland),2.650,2.650
1,10:40,2,6,KAN 40,0,0,Tom Brady pass complete short right to Rex Burkhead for 5 yards (tackle by Anthony Hitchens),2.650,2.610
1,9:59,3,1,KAN 35,0,0,James White up the middle for 2 yards (tackle by Charvarius Ward and Anthony Hitchens),2.610,3.380
1,9:21,1,10,KAN 33,0,0,Rex Burkhead left guard for 3 yards (tackle by Anthony Hitchens and Reggie Ragland),3.380,3.240
1,8:46,2,7,KAN 30,0,0,Tom Brady pass incomplete short left intended for James White,3.240,2.540
1,8:43,3,7,KAN 30,0,0,Tom Brady pass complete short middle to Julian Edelman for 14 yards (tackle by Daniel Sorensen),2.540,4.510
1,7:59,1,10,KAN 16,0,0,Sony Michel right guard for 11 yards (tackle by Daniel Sorensen),4.510,6.060
1,7:25,1,5,KAN 5,0,0,Sony Michel right tackle for 4 yards (tackle by Charvarius Ward),6.060,5.910
1,6:58,2,1,KAN 1,6,0,"Sony Michel left guard for 1 yard, touchdown",5.910,7.000
1,6:55,,,KAN 15,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,6:55,,,NWE 35,7,0,"Stephen Gostkowski kicks off 68 yards, (tackle by Keion Crossen)",0.000,-0.140
1,6:50,1,10,KAN 16,7,0,Damien Williams right tackle for 5 yards (tackle by Kyle Van Noy),-0.140,0.150
1,6:17,2,5,KAN 21,7,0,Damien Williams middle for -2 yards (tackle by Elandon Roberts),0.150,-0.950
1,5:39,3,7,KAN 19,7,0,"Patrick Mahomes pass incomplete short middle intended for Sammy Watkins. Penalty on Jonathan Jones: Defensive Holding, 5 yards (no play)",-0.950,0.540
1,5:34,1,10,KAN 24,7,0,Patrick Mahomes pass incomplete deep right intended for Sammy Watkins,0.540,0.000
1,5:28,2,10,KAN 24,7,0,Patrick Mahomes pass incomplete short left intended for Sammy Watkins,0.000,-0.690
1,5:25,3,10,KAN 24,7,0,Patrick Mahomes sacked by Kyle Van Noy for -14 yards,-0.690,-2.490
1,4:43,4,24,KAN 10,7,0,"Dustin Colquitt punts 45 yards, returned by Julian Edelman for 11 yards",-2.490,-2.650
1,4:33,1,10,KAN 44,7,0,Tom Brady pass incomplete short right intended for Julian Edelman,2.650,2.110
1,4:31,2,10,KAN 44,7,0,Tom Brady pass complete short left to Rex Burkhead for 6 yards (tackle by Anthony Hitchens),2.110,2.210
1,3:50,3,4,KAN 38,7,0,James White right tackle for 4 yards (tackle by Eric Murray),2.210,3.310
1,3:05,1,10,KAN 34,7,0,Rex Burkhead up the middle for 1 yard (tackle by Xavier Williams and Allen Bailey),3.310,2.910
1,2:25,2,9,KAN 33,7,0,Tom Brady pass complete short middle to Cordarrelle Patterson for 15 yards (tackle by Charvarius Ward and Daniel Sorensen),2.910,4.370
1,1:52,1,10,KAN 18,7,0,Sony Michel up the middle for 4 yards (tackle by Daniel Sorensen),4.370,4.430
1,1:14,2,6,KAN 14,7,0,Sony Michel right guard for 4 yards (tackle by Eric Berry and Derrick Nnadi),4.430,4.510
1,0:32,3,2,KAN 10,7,0,Tom Brady pass complete short right to Julian Edelman for 5 yards (tackle by Charvarius Ward),4.510,6.060
Quarter,Time,Down,ToGo,Location,NWE,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,KAN 5,7,0,Sony Michel left guard for 4 yards (tackle by Reggie Ragland),6.060,5.910
2,14:22,2,1,KAN 1,7,0,Sony Michel left guard for no gain (tackle by Derrick Nnadi and Reggie Ragland),5.910,5.170
2,13:45,3,1,KAN 1,7,0,Tom Brady pass short middle intended for Rob Gronkowski is intercepted by Reggie Ragland at KC-0 and returned for no gain,5.170,-0.280
2,13:37,1,10,KAN 20,7,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,0.280,-0.270
2,13:31,2,10,KAN 20,7,0,Patrick Mahomes pass complete short right to Travis Kelce for 9 yards (tackle by Jonathan Jones),-0.270,0.230
2,12:54,3,1,KAN 29,7,0,Damien Williams middle for no gain (tackle by Malcom Brown and Kyle Van Noy),0.230,-1.440
2,12:08,4,1,KAN 29,7,0,"Dustin Colquitt punts 59 yards, returned by Julian Edelman for 14 yards (tackle by Eric Murray)",-1.440,-0.670
2,11:57,1,10,NWE 26,7,0,Sony Michel up the middle for 3 yards (tackle by Xavier Williams and Derrick Nnadi),0.670,0.540
2,11:21,2,7,NWE 29,7,0,Tom Brady pass incomplete short left intended for Rob Gronkowski,0.540,-0.160
2,11:15,3,7,NWE 29,7,0,Tom Brady pass complete short left to James White for 9 yards (tackle by Eric Murray),-0.160,1.470
2,10:32,1,10,NWE 38,7,0,Tom Brady pass complete short middle to Rob Gronkowski for 9 yards (tackle by Kendall Fuller),1.470,2.140
2,9:49,2,1,NWE 47,7,0,Sony Michel up the middle for 2 yards (tackle by Xavier Williams),2.140,2.190
2,9:11,1,10,NWE 49,7,0,Tom Brady pass incomplete short middle intended for James White,2.190,1.650
2,9:07,2,10,NWE 49,7,0,Sony Michel up the middle for 9 yards (tackle by Charvarius Ward and Reggie Ragland),1.650,2.150
2,8:34,3,1,KAN 42,7,0,Sony Michel left tackle for no gain (tackle by Anthony Hitchens and Justin Hamilton),2.150,0.460
2,7:45,4,1,KAN 42,7,0,"Penalty on NWE: Delay of Game, 5 yards (no play)",0.460,0.130
2,7:39,4,6,KAN 47,7,0,"Ryan Allen punts 32 yards, fair catch by Tyreek Hill at KC-15",0.130,0.220
2,7:32,1,10,KAN 15,7,0,Damien Williams right tackle for 6 yards (tackle by Lawrence Guy),-0.220,0.210
2,6:55,2,4,KAN 21,7,0,Patrick Mahomes pass complete short middle to Travis Kelce for 2 yards (tackle by Kyle Van Noy),0.210,-0.390
2,6:12,3,2,KAN 23,7,0,Patrick Mahomes pass complete short left to Sammy Watkins for 12 yards (tackle by Devin McCourty),-0.390,1.270
2,5:29,1,10,KAN 35,7,0,Patrick Mahomes pass complete deep right to Tyreek Hill for 42 yards (tackle by Keion Crossen),1.270,4.040
2,4:42,1,10,NWE 23,7,0,Patrick Mahomes pass incomplete deep right intended for Damien Williams,4.040,3.500
2,4:37,2,10,NWE 23,7,0,Damien Williams right tackle for 1 yard (tackle by Patrick Chung and Lawrence Guy),3.500,2.940
2,3:57,3,9,NWE 22,7,0,Patrick Mahomes sacked by Trey Flowers for -14 yards,2.940,0.880
2,3:14,4,23,NWE 36,7,0,"Dustin Colquitt punts 26 yards, fair catch by Julian Edelman at NE-10",0.880,0.380
2,3:08,1,10,NWE 10,7,0,Sony Michel up the middle for 2 yards (tackle by Anthony Hitchens),-0.380,-0.630
2,2:32,2,8,NWE 12,7,0,Sony Michel left guard for 9 yards (tackle by Eric Berry),-0.630,0.340
2,2:00,1,10,NWE 21,7,0,Sony Michel left end for 1 yard (tackle by Eric Berry),0.340,-0.070
2,1:19,2,9,NWE 22,7,0,Sony Michel up the middle for 5 yards (tackle by Xavier Williams and Daniel Sorensen),-0.070,-0.100
2,1:13,,,,,,Timeout #1 by Kansas City Chiefs,,
2,1:13,3,4,NWE 27,7,0,Tom Brady pass complete short right to James White for 5 yards (tackle by Daniel Sorensen),-0.100,1.070
2,0:50,1,10,NWE 32,7,0,Tom Brady pass complete short right to James White for 30 yards (tackle by Kendall Fuller),1.070,3.050
2,0:41,,,,,,Timeout #1 by New England Patriots,,
2,0:41,1,10,KAN 38,7,0,James White left tackle for 9 yards (tackle by Anthony Hitchens),3.050,3.720
2,0:33,,,,,,Timeout #2 by New England Patriots,,
2,0:33,2,1,KAN 29,13,0,"Tom Brady pass complete deep left to Phillip Dorsett for 29 yards, touchdown",3.720,7.000
2,0:27,,,KAN 15,14,0,Stephen Gostkowski kicks extra point good,0.000,0.000
