Quarter,Time,Tm,Detail,NWE,KAN
1,6:55,Patriots,Sony Michel 1 yard rush (Stephen Gostkowski kick),7,0
2,0:27,Patriots,Phillip Dorsett 29 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
3,12:56,Chiefs,Travis Kelce 12 yard pass from Patrick Mahomes (Harrison Butker kick),14,7
,4:02,Patriots,Stephen Gostkowski 47 yard field goal,17,7
4,14:51,Chiefs,Damien Williams 1 yard pass from Patrick Mahomes (Harrison Butker kick),17,14
,7:45,Chiefs,Damien Williams 23 yard pass from Patrick Mahomes (Harrison Butker kick),17,21
,3:32,Patriots,Sony Michel 10 yard rush (Stephen Gostkowski kick),24,21
,2:03,Chiefs,Damien Williams 2 yard rush (Harrison Butker kick),24,28
,0:39,Patriots,Rex Burkhead 4 yard rush (Stephen Gostkowski kick),31,28
,0:08,Chiefs,Harrison Butker 39 yard field goal,31,31
OT,10:08,Patriots,Rex Burkhead 2 yard rush,37,31
