Quarter,Time,Down,ToGo,Location,LAR,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 62 yards, returned by Anthony Miller for no gain (tackle by Blake Countess)",0.000,0.480
1,14:54,1,10,CHI 23,0,0,Mitchell Trubisky up the middle for 9 yards (tackle by Cory Littleton),0.480,1.150
1,14:10,2,1,CHI 32,0,0,Jordan Howard right guard for 3 yards (tackle by Michael Brockers),1.150,1.270
1,13:34,1,10,CHI 35,0,0,Mitchell Trubisky pass complete short right to Tarik Cohen for -3 yards (tackle by John Johnson),1.270,0.320
1,12:52,2,13,CHI 32,0,0,Mitchell Trubisky pass complete short right to Jordan Howard for 2 yards (tackle by Lamarcus Joyner),0.320,-0.100
1,12:13,3,11,CHI 34,0,0,Mitchell Trubisky right guard for 13 yards (tackle by Lamarcus Joyner),-0.100,2.060
1,11:31,1,10,CHI 47,0,0,"Jordan Howard right guard for no gain (tackle by John Johnson) Penalty on CHI: Illegal Shift, 5 yards (no play)",2.060,1.730
1,11:07,1,15,CHI 42,0,0,Mitchell Trubisky pass incomplete short middle intended for Anthony Miller,1.730,0.840
1,11:03,2,15,CHI 42,0,0,Mitchell Trubisky pass deep left intended for Josh Bellamy is intercepted by Marcus Peters at LA-37 and returned for 48 yards,0.840,-4.580
1,10:47,1,10,CHI 15,0,0,Todd Gurley right tackle for 1 yard (tackle by Roquan Smith),4.580,4.110
1,10:08,2,9,CHI 14,0,0,Jared Goff pass complete short middle to Brandin Cooks for 5 yards (tackle by Danny Trevathan),4.110,4.220
1,9:21,3,4,CHI 9,0,0,Jared Goff pass incomplete short right intended for Gerald Everett,4.220,2.900
1,9:16,4,4,CHI 9,3,0,Greg Zuerlein 27 yard field goal good,2.900,3.000
1,9:12,,,LAR 35,3,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,9:12,1,10,CHI 25,3,0,Jordan Howard left end for 4 yards (tackle by Ndamukong Suh),0.610,0.600
1,8:49,2,6,CHI 29,3,0,Mitchell Trubisky pass incomplete short right intended for Taylor Gabriel,0.600,-0.100
1,8:44,3,6,CHI 29,3,0,Mitchell Trubisky pass complete short left to Taylor Gabriel for 8 yards (tackle by Marcus Peters),-0.100,1.400
1,8:01,1,10,CHI 37,3,0,Tarik Cohen left end for 4 yards (tackle by Lamarcus Joyner),1.400,1.400
1,7:29,2,6,CHI 41,3,0,"Jordan Howard right guard for no gain (tackle by Ndamukong Suh). Penalty on Josh Bellamy: Chop Block, 15 yards (no play)",1.400,-0.630
1,7:05,2,21,CHI 26,3,0,Mitchell Trubisky pass complete short middle to Trey Burton for 17 yards (tackle by Marqui Christian),-0.630,0.960
1,6:27,3,4,CHI 43,3,0,Mitchell Trubisky pass complete short right to Tarik Cohen for 8 yards (tackle by Aqib Talib),0.960,2.320
1,5:48,1,10,LAR 49,3,0,Mitchell Trubisky left end for 1 yard (tackle by Lamarcus Joyner),2.320,1.920
1,5:01,2,9,LAR 48,3,0,Tarik Cohen right tackle for 32 yards (tackle by Lamarcus Joyner),1.920,4.510
1,4:22,1,10,LAR 16,3,0,Mitchell Trubisky pass incomplete short right,4.510,3.900
1,4:18,2,10,LAR 16,3,0,Tarik Cohen left tackle for 5 yards (tackle by Aqib Talib),3.900,3.940
1,3:35,3,5,LAR 11,3,0,Mitchell Trubisky sacked by John Franklin-Myers for -10 yards,3.940,2.060
1,2:53,4,15,LAR 21,3,3,Cody Parkey 39 yard field goal good,2.060,3.000
1,2:48,,,CHI 35,3,3,"Cody Parkey kicks off 57 yards, returned by Jojo Natson for no gain (tackle by Benny Cunningham)",0.000,0.670
1,2:41,1,10,LAR 26,3,3,Todd Gurley left guard for 9 yards (tackle by Kyle Fuller and Roquan Smith),0.670,1.350
1,2:14,2,1,LAR 35,3,3,Jared Goff pass incomplete short right,1.350,0.630
1,2:09,,,,,,Timeout #1 by Los Angeles Rams,,
1,2:09,3,1,LAR 35,3,3,Todd Gurley right tackle for 2 yards (tackle by Akiem Hicks),0.630,1.400
1,1:25,1,10,LAR 37,3,3,Jared Goff pass complete short right to Robert Woods for 9 yards (tackle by Kyle Fuller),1.400,2.070
1,0:39,2,1,LAR 46,3,3,Todd Gurley left tackle for -1 yards (tackle by Bryce Callahan),2.070,1.220
Quarter,Time,Down,ToGo,Location,LAR,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,LAR 45,3,3,Jared Goff pass incomplete short middle intended for Robert Woods,1.220,-0.390
2,14:56,4,2,LAR 45,3,3,Johnny Hekker punts 29 yards out of bounds,-0.390,-0.670
2,14:50,1,10,CHI 26,3,3,Mitchell Trubisky pass complete short left to Taylor Gabriel for 8 yards (tackle by Marcus Peters),0.670,1.210
2,14:13,2,2,CHI 34,3,3,Jordan Howard left tackle for 6 yards (tackle by Cory Littleton and John Johnson),1.210,1.600
2,13:33,1,10,CHI 40,3,3,Jordan Howard left tackle for 10 yards (tackle by Mark Barron),1.600,2.260
2,12:49,1,10,CHI 50,3,3,Mitchell Trubisky pass incomplete deep left intended for Trey Burton,2.260,1.710
2,12:42,2,10,CHI 50,3,3,Jordan Howard right guard for 5 yards (tackle by Ndamukong Suh),1.710,1.690
2,11:59,3,5,LAR 45,3,3,Mitchell Trubisky pass incomplete short middle intended for Trey Burton,1.690,0.270
2,11:53,4,5,LAR 45,3,3,"Pat O'Donnell punts 45 yards, touchback.",0.270,-0.280
2,11:45,1,10,LAR 20,3,3,"Jared Goff pass complete short right to Robert Woods for -2 yards (tackle by Aaron Lynch). Penalty on Brandin Cooks: Illegal Block Above the Waist, 10 yards (no play)",0.280,-0.760
2,11:14,1,20,LAR 10,3,3,Jared Goff pass deep left intended for Robert Woods is intercepted by Roquan Smith at LA-26 and returned for 22 yards,-0.760,-6.280
2,11:04,1,4,LAR 4,3,3,"Jordan Howard left guard for no gain (tackle by Lamarcus Joyner and Ndamukong Suh). Penalty on Bobby Massie: Illegal Formation, 5 yards (no play)",6.280,5.140
2,10:41,,,,,,Timeout #1 by Chicago Bears,,
2,10:41,1,9,LAR 9,3,3,"Tarik Cohen right end for no gain (tackle by Mark Barron). Penalty on Allen Robinson: Illegal Block Above the Waist, 10 yards (no play)",5.140,4.230
2,10:14,1,19,LAR 19,3,3,Mitchell Trubisky pass complete short left to Taylor Gabriel for 6 yards (tackle by Cory Littleton),4.230,3.720
2,9:38,2,13,LAR 13,3,3,Mitchell Trubisky pass incomplete short left intended for Taylor Gabriel,3.720,3.060
2,9:33,3,13,LAR 13,3,3,Mitchell Trubisky pass incomplete short middle intended for Allen Robinson (defended by Nickell Robey-Coleman),3.060,2.570
2,9:28,4,13,LAR 13,3,6,Cody Parkey 31 yard field goal good,2.570,3.000
2,9:24,,,CHI 35,3,6,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,9:24,1,10,LAR 25,3,6,Jared Goff pass incomplete deep left intended for Brandin Cooks (defended by Prince Amukamara),0.610,0.060
2,9:17,2,10,LAR 25,3,6,Jared Goff pass incomplete short left intended for Brandin Cooks (defended by Prince Amukamara),0.060,-0.620
2,9:10,3,10,LAR 25,3,6,"Jared Goff pass complete short right to Gerald Everett for 10 yards (tackle by Kyle Fuller). Penalty on Brandin Cooks: Illegal Shift, 5 yards (no play)",-0.620,-1.290
2,8:42,3,15,LAR 20,3,6,Jared Goff pass complete short right to Todd Gurley for 8 yards (tackle by Bryce Callahan),-1.290,-1.500
2,8:18,4,7,LAR 28,3,6,Johnny Hekker pass complete short right to Gerald Everett for 7 yards (tackle by Benny Cunningham),-1.500,1.270
2,7:58,1,10,LAR 35,3,6,Jared Goff pass incomplete short middle intended for Robert Woods (defended by Danny Trevathan),1.270,0.720
2,7:54,2,10,LAR 35,3,6,Jared Goff pass complete short middle to Todd Gurley for 11 yards (tackle by Prince Amukamara),0.720,1.990
2,7:24,1,10,LAR 46,3,6,Jared Goff pass complete short left to Brandin Cooks for 12 yards (tackle by Prince Amukamara),1.990,2.790
2,6:42,1,10,CHI 42,3,6,Jared Goff pass complete short middle to Brandin Cooks for 5 yards (tackle by Prince Amukamara),2.790,2.920
2,6:16,2,5,CHI 37,3,6,Jared Goff pass complete short right to Robert Woods for 5 yards (tackle by Kyle Fuller),2.920,3.450
2,5:28,1,10,CHI 32,3,6,Todd Gurley left guard for no gain (tackle by Roy Robertson-Harris and Roquan Smith),3.450,2.900
2,4:58,2,10,CHI 32,3,6,Jared Goff pass incomplete short left intended for Brandin Cooks,2.900,2.210
2,4:55,3,10,CHI 32,3,6,Jared Goff pass complete short right to Robert Woods for no gain (tackle by Roquan Smith),2.210,1.240
2,4:17,,,,,,Timeout #2 by Chicago Bears,,
2,4:17,4,10,CHI 32,6,6,Greg Zuerlein 50 yard field goal good,1.240,3.000
2,4:12,,,LAR 35,6,6,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,4:12,1,10,CHI 25,6,6,Tarik Cohen right end for 4 yards (tackle by Cory Littleton),0.610,0.600
2,3:37,2,6,CHI 29,6,6,Mitchell Trubisky pass complete short middle to Trey Burton for 5 yards (tackle by John Johnson),0.600,0.560
2,2:55,3,1,CHI 34,6,6,Jordan Howard right guard for 3 yards (tackle by Michael Brockers),0.560,1.400
2,2:11,1,10,CHI 37,6,6,Mitchell Trubisky pass complete short right to Allen Robinson for 8 yards (tackle by Aqib Talib),1.400,1.940
2,2:00,2,2,CHI 45,6,6,Mitchell Trubisky pass incomplete short left intended for Taylor Gabriel,1.940,1.220
2,1:57,3,2,CHI 45,6,6,Jordan Howard left guard for 1 yard (tackle by Aaron Donald),1.220,-0.320
2,1:45,,,,,,Timeout #2 by Los Angeles Rams,,
2,1:45,4,1,CHI 46,6,6,"Pat O'Donnell punts 40 yards, fair catch by Jojo Natson at LA-14",-0.320,0.280
2,1:38,1,10,LAR 14,6,6,Jared Goff pass complete short middle to Josh Reynolds for 14 yards (tackle by Kyle Fuller),-0.280,0.810
2,1:18,1,10,LAR 28,6,6,Jared Goff pass complete short left to Robert Woods for 5 yards (tackle by Sherrick McManis),0.810,0.940
2,1:12,2,5,LAR 33,6,6,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",0.940,0.260
2,1:12,2,10,LAR 28,6,6,Jared Goff pass incomplete short right intended for Robert Woods,0.260,-0.430
2,1:07,3,10,LAR 28,6,6,Jared Goff pass incomplete short left intended for Todd Gurley (defended by Roy Robertson-Harris),-0.430,-1.500
2,1:03,4,10,LAR 28,6,6,"Johnny Hekker punts 55 yards, returned by Tarik Cohen for 22 yards (tackle by Johnny Hekker)",-1.500,-1.530
