Unnamed: 0,LAR,CHI
First Downs,14,17
Rush-Yds-TDs,13-52-0,35-194-0
Cmp-Att-Yd-TD-INT,21-45-187-0-4,16-30-110-1-3
Sacked-Yards,3-25,1-10
Net Pass Yards,162,100
Total Yards,214,294
Fumbles-Lost,1-0,0-0
Turnovers,4,3
Penalties-Yards,9-57,6-45
Third Down Conv.,3-12,7-16
Fourth Down Conv.,1-3,0-0
Time of Possession,23:11,36:49
