Quarter,Time,Tm,Detail,KAN,BUF
1.0,1:52,Bills,Marquise Goodwin 59 yard pass from Jeff Tuel (Dan Carpenter kick),0,7
2.0,7:30,Chiefs,Ryan Succop 27 yard field goal,3,7
,1:47,Bills,Dan Carpenter 26 yard field goal,3,10
3.0,10:58,Chiefs,Sean Smith 100 yard interception return (Ryan Succop kick),10,10
,3:57,Chiefs,Ryan Succop 41 yard field goal,13,10
,0:20,Bills,Dan Carpenter 30 yard field goal,13,13
4.0,12:47,Chiefs,Tamba Hali 11 yard defensive fumble return (Ryan Succop kick),20,13
,2:13,Chiefs,Ryan Succop 39 yard field goal,23,13
