Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dan Carpenter kicks off 52 yards, returned by Quintin Demps for 13 yards (tackle by Robert Woods)",0.000,-0.670
1,14:55,1,10,KAN 26,0,0,Alex Smith pass incomplete short right intended for Donnie Avery (defended by Leodis McKelvin),0.670,0.130
1,14:51,2,10,KAN 26,0,0,Jamaal Charles up the middle for 4 yards (tackle by Kyle Williams and Marcell Dareus),0.130,-0.030
1,14:10,3,6,KAN 30,0,0,Alex Smith pass complete short right to Jamaal Charles for no gain,-0.030,-1.370
1,13:47,4,6,KAN 30,0,0,"Dustin Colquitt punts 59 yards, returned by Leodis McKelvin for 89 yards. Penalty on Nigel Bradham: Illegal Block Above the Waist, 8 yards",-1.370,0.380
1,13:23,1,10,BUF 9,0,0,Fred Jackson up the middle for 3 yards (tackle by Tamba Hali),-0.380,-0.560
1,13:01,2,7,BUF 12,0,0,Jeff Tuel pass complete short right to Robert Woods for 10 yards (tackle by Brandon Flowers),-0.560,0.410
1,12:26,1,10,BUF 22,0,0,Fred Jackson right tackle for 8 yards (tackle by Derrick Johnson and Kendrick Lewis),0.410,0.950
1,11:57,2,2,BUF 30,0,0,Fred Jackson up the middle for 1 yard (tackle by Dontari Poe and Mike DeVito),0.950,0.370
1,11:27,3,1,BUF 31,0,0,Tashard Choice right guard for 2 yards (tackle by Mike DeVito and Dontari Poe),0.370,1.140
1,10:52,1,10,BUF 33,0,0,Jeff Tuel pass complete short right to Fred Jackson for 22 yards (tackle by Brandon Flowers),1.140,2.590
1,10:27,1,10,KAN 45,0,0,Jeff Tuel pass complete short middle to Steve Johnson for 3 yards (tackle by Derrick Johnson),2.590,2.450
1,9:50,2,7,KAN 42,0,0,Tashard Choice left guard for 2 yards (tackle by Tyson Jackson and Akeem Jordan),2.450,2.010
1,9:15,3,5,KAN 40,0,0,Jeff Tuel pass incomplete short left intended for Scott Chandler,2.010,0.590
1,9:11,4,5,KAN 40,0,0,"Brian Moorman punts 29 yards, fair catch by Dexter McCluster",0.590,0.370
1,9:04,1,10,KAN 11,0,0,Alex Smith pass complete short right to Jamaal Charles for 5 yards (tackle by Kiko Alonso and Jairus Byrd),-0.370,-0.300
1,8:33,2,5,KAN 16,0,0,"Alex Smith pass complete short right to Anthony Fasano for 16 yards (tackle by Manny Lawson and Kiko Alonso). Penalty on Jeff Allen: Offensive Holding, 8 yards (no play)",-0.300,-1.000
1,8:10,2,13,KAN 8,0,0,Alex Smith pass complete short right to Dwayne Bowe for 9 yards (tackle by Stephon Gilmore and Aaron Williams),-1.000,-0.720
1,7:27,3,4,KAN 17,0,0,Alex Smith pass complete short right to Jamaal Charles for 6 yards (tackle by Jairus Byrd),-0.720,0.480
1,6:58,1,10,KAN 23,0,0,Jamaal Charles left tackle for 2 yards (tackle by Stefan Charles),0.480,0.200
1,6:23,2,8,KAN 25,0,0,Alex Smith pass complete short left to Dwayne Bowe for 9 yards (tackle by Stephon Gilmore),0.200,1.200
1,5:55,1,10,KAN 34,0,0,Jamaal Charles left tackle for no gain (tackle by Stefan Charles),1.200,0.660
1,5:19,2,10,KAN 34,0,0,Jamaal Charles up the middle for 4 yards (tackle by Kiko Alonso),0.660,0.500
1,4:35,3,6,KAN 38,0,0,Alex Smith sacked by Kiko Alonso for -1 yards. Penalty on Rodney Hudson: Offensive Holding (Declined),0.500,-0.910
1,4:11,4,7,KAN 37,0,0,"Dustin Colquitt punts 51 yards, fair catch by Leodis McKelvin",-0.910,0.350
1,4:02,1,10,BUF 12,0,0,Jeff Tuel pass complete deep right to Robert Woods for 18 yards (tackle by Brandon Flowers),-0.350,0.940
1,3:27,1,10,BUF 30,0,0,C.J. Spiller up the middle for 2 yards (tackle by Mike DeVito and Dontari Poe),0.940,0.660
1,2:55,2,8,BUF 32,0,0,C.J. Spiller left tackle for 8 yards (tackle by Eric Berry),0.660,1.600
1,2:40,1,10,BUF 40,0,0,Jeff Tuel pass incomplete deep right intended for T.J. Graham (defended by Marcus Cooper),1.600,1.050
1,2:33,2,10,BUF 40,0,0,Fred Jackson up the middle for 1 yard (tackle by Eric Berry and Mike DeVito),1.050,0.500
1,1:59,3,9,BUF 41,0,6,"Jeff Tuel pass complete deep right to Marquise Goodwin for 59 yards, touchdown",0.500,7.000
1,1:59,,,KAN 2,0,7,Dan Carpenter kicks extra point good,0.000,0.000
