Unnamed: 0,NWE,BUF
First Downs,16,23
Rush-Yds-TDs,21-105-0,33-107-2
Cmp-Att-Yd-TD-INT,17-35-154-0-4,17-28-230-1-1
Sacked-Yards,2-20,2-15
Net Pass Yards,134,215
Total Yards,239,322
Fumbles-Lost,0-0,2-1
Turnovers,4,2
Penalties-Yards,12-121,10-119
Third Down Conv.,4-10,7-14
Fourth Down Conv.,0-1,0-1
Time of Possession,26:10,33:50
