Unnamed: 0,MIN,GNB
First Downs,11,29
Rush-Yds-TDs,15-86-0,32-120-1
Cmp-Att-Yd-TD-INT,16-26-176-0-1,35-48-368-3-0
Sacked-Yards,3-15,0-0
Net Pass Yards,161,368
Total Yards,247,488
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,5-51,4-35
Third Down Conv.,0-8,11-17
Fourth Down Conv.,0-3,2-2
Time of Possession,19:20,40:40
