Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 65 yards, returned by Troy Williamson for 24 yards (tackle by Tramon Williams)",0.000,0.870
1,14:54,1,10,MIN 29,0,0,Adrian Peterson left end for 5 yards (tackle by Nick Barnett),0.870,1.000
1,14:17,2,5,MIN 34,0,0,Brooks Bollinger left tackle for 4 yards (tackle by Nick Barnett),1.000,0.830
1,13:41,3,1,MIN 38,0,0,Adrian Peterson right guard for no gain (tackle by Brady Poppinga and Atari Bigby),0.830,-0.850
1,13:07,4,1,MIN 38,0,0,"Chris Kluwe punts 54 yards, returned by Charles Woodson for 10 yards (tackle by Chad Greenway)",-0.850,-0.040
1,12:50,1,10,GNB 18,0,0,Brett Favre pass complete short right to Donald Lee for 7 yards (tackle by Marcus McCauley),0.040,0.550
1,12:08,2,3,GNB 25,0,0,Brett Favre pass incomplete short left intended for James Jones,0.550,-0.270
1,12:03,3,3,GNB 25,0,0,Brett Favre pass complete short middle to Vernand Morency for 6 yards (tackle by Chad Greenway),-0.270,1.000
1,11:18,1,10,GNB 31,0,0,Brett Favre pass complete short left to Ryan Grant for 5 yards (tackle by Kevin Williams),1.000,1.140
1,10:33,2,5,GNB 36,0,0,Ryan Grant left end for 12 yards (tackle by E.J. Henderson),1.140,2.130
1,9:56,1,10,GNB 48,0,0,"Penalty on Pat Williams: Encroachment, 5 yards (no play)",2.130,2.860
1,9:34,1,5,MIN 47,0,0,Brett Favre pass complete short right to Ryan Grant for 6 yards (tackle by Chad Greenway),2.860,2.850
1,9:01,1,10,MIN 41,0,0,Ryan Grant left guard for 7 yards (tackle by Chad Greenway),2.850,3.250
1,8:25,2,3,MIN 34,0,0,Brett Favre pass incomplete deep left intended for Donald Driver,3.250,2.540
1,8:19,3,3,MIN 34,0,0,Brett Favre pass incomplete short right intended for Donald Lee (defended by Ben Leber),2.540,1.090
1,8:15,,,,0,0,Timeout #1 by Minnesota Vikings,0.000,1.090
1,8:15,4,3,MIN 34,0,0,Brett Favre pass complete short left to Koren Robinson for 4 yards (tackle by Tank Williams),1.090,3.580
1,7:30,1,10,MIN 30,0,0,Brett Favre pass incomplete deep middle intended for Greg Jennings,3.580,3.030
1,7:25,2,10,MIN 30,0,6,"Ryan Grant left end for 30 yards, touchdown",3.030,7.000
1,,,,MIN 2,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,,,,GNB 30,0,7,Mason Crosby kicks off 67 yards,0.000,1.600
1,7:18,1,10,MIN 40,0,7,Brooks Bollinger pass complete short right to Adrian Peterson for 2 yards (tackle by Atari Bigby),1.600,1.320
1,6:46,2,8,MIN 42,0,7,Adrian Peterson right tackle for 12 yards (tackle by A.J. Hawk and Charles Woodson),1.320,2.520
1,6:10,1,10,GNB 46,0,7,Adrian Peterson left guard for no gain (tackle by Johnny Jolly),2.520,1.980
1,5:34,2,10,GNB 46,0,7,Adrian Peterson right tackle for 4 yards (tackle by A.J. Hawk),1.980,1.820
1,4:55,3,6,GNB 42,0,7,Brooks Bollinger pass incomplete short right intended for Aundrae Allison,1.820,0.460
1,4:52,4,6,GNB 42,0,7,"Chris Kluwe punts 42 yards, touchback",0.460,-0.280
1,4:44,1,10,GNB 20,0,7,Ryan Grant left end for 3 yards (tackle by Ray Edwards and Dwight Smith),0.280,0.140
1,4:05,2,7,GNB 23,0,7,Ryan Grant up the middle for 11 yards (tackle by E.J. Henderson),0.140,1.200
1,3:22,1,10,GNB 34,0,7,Brett Favre pass incomplete deep left intended for Koren Robinson,1.200,0.660
1,3:18,2,10,GNB 34,0,7,Ryan Grant right guard for 15 yards (tackle by Marcus McCauley),0.660,2.190
1,2:42,1,10,GNB 49,0,7,Ryan Grant left end for 5 yards (tackle by Darren Sharper),2.190,2.320
1,2:16,2,5,MIN 46,0,7,Ryan Grant right end for -2 yards (tackle by E.J. Henderson),2.320,1.360
1,1:33,3,7,MIN 48,0,7,Brett Favre pass incomplete short middle intended for Greg Jennings,1.360,0.070
1,1:28,4,7,MIN 48,0,7,"Jon Ryan punts 48 yards, touchback",0.070,-0.280
1,1:20,1,10,MIN 20,0,7,Adrian Peterson left end for 11 yards (tackle by Cullen Jenkins),0.280,1.000
1,0:41,1,10,MIN 31,0,7,Adrian Peterson left tackle for 4 yards (tackle by A.J. Hawk),1.000,1.000
1,0:04,2,6,MIN 35,0,7,Brooks Bollinger pass incomplete short right intended for Adrian Peterson,1.000,0.300
Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,MIN 35,0,7,Brooks Bollinger pass incomplete short right intended for Visanthe Shiancoe,0.300,-1.040
2,14:56,4,6,MIN 35,0,7,"Chris Kluwe punts 57 yards, returned by Charles Woodson for 2 yards (tackle by Heath Farwell)",-1.040,0.380
2,14:43,1,10,GNB 10,0,7,Ryan Grant left tackle for 3 yards (tackle by Ben Leber and Cedric Griffin),-0.380,-0.560
2,14:07,2,7,GNB 13,0,7,Ryan Grant left end for 8 yards (tackle by Cedric Griffin),-0.560,0.340
2,13:36,1,10,GNB 21,0,7,Brett Favre pass complete short middle to Donald Lee for 10 yards (tackle by Ben Leber),0.340,1.000
2,12:51,1,10,GNB 31,0,7,Brett Favre pass complete short right to Donald Lee for 9 yards (tackle by Chad Greenway),1.000,1.680
