Unnamed: 0,PHI,BAL
First Downs,27,18
Rush-Yds-TDs,38-169-2,24-151-1
Cmp-Att-Yd-TD-INT,22-42-170-0-1,16-30-206-2-1
Sacked-Yards,1-11,3-17
Net Pass Yards,159,189
Total Yards,328,340
Fumbles-Lost,3-0,2-1
Turnovers,1,2
Penalties-Yards,3-30,7-62
Third Down Conv.,8-18,4-11
Fourth Down Conv.,1-3,0-0
Time of Possession,36:38,23:22
