Quarter,Time,Tm,Detail,PHI,BAL
1.0,11:38,Ravens,Kamar Aiken 5 yard pass from Joe Flacco (Justin Tucker kick),0,7
,4:42,Eagles,Caleb Sturgis 45 yard field goal,3,7
,1:55,Ravens,Justin Tucker 53 yard field goal,3,10
2.0,14:38,Eagles,Ryan Mathews 4 yard rush (Ryan Mathews run),11,10
,9:21,Ravens,Justin Tucker 47 yard field goal,11,13
,1:39,Eagles,Caleb Sturgis 34 yard field goal,14,13
,0:09,Ravens,Steve Smith Sr. 34 yard pass from Joe Flacco (Justin Tucker kick),14,20
4.0,14:48,Eagles,Caleb Sturgis 27 yard field goal,17,20
,11:06,Ravens,Kenneth Dixon 16 yard rush (Justin Tucker kick),17,27
,2:22,Eagles,Caleb Sturgis 29 yard field goal,20,27
,0:04,Eagles,Carson Wentz 4 yard rush (pass failed),26,27
