Unnamed: 0,WAS,TAM
First Downs,23,9
Rush-Yds-TDs,31-120-0,25-99-1
Cmp-Att-Yd-TD-INT,30-49-301-1-2,11-23-115-0-0
Sacked-Yards,2-9,3-22
Net Pass Yards,292,93
Total Yards,412,192
Fumbles-Lost,4-4,1-0
Turnovers,6,0
Penalties-Yards,4-27,4-25
Third Down Conv.,9-17,1-12
Fourth Down Conv.,2-3,0-0
Time of Possession,34:53,25:07
