Unnamed: 0,DAL,NOR
First Downs,21,27
Rush-Yds-TDs,28-115-1,25-103-1
Cmp-Att-Yd-TD-INT,16-26-246-1-0,33-41-359-2-0
Sacked-Yards,3-26,3-24
Net Pass Yards,220,335
Total Yards,335,438
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-30,8-64
Third Down Conv.,3-12,6-13
Fourth Down Conv.,1-1,1-1
Time of Possession,29:20,30:53
