Quarter,Time,Down,ToGo,Location,DAL,NOR,Detail,EPB,EPA
1,8:26,3,11,NOR 30,3,0,Drew Brees pass complete deep left to Willie Snead for 19 yards (tackle by Brandon Carr),-0.360,2.190
1,7:56,1,10,NOR 49,3,0,Mark Ingram left end for 1 yard (tackle by Anthony Hitchens),2.190,1.780
1,7:22,2,9,,3,0,Drew Brees pass complete short middle to Ben Watson for 21 yards (tackle by J.J. Wilcox and Damien Wilson),1.780,3.640
1,6:39,1,10,DAL 29,3,0,Mark Ingram right end for 14 yards (tackle by Sean Lee),3.640,4.580
1,5:54,1,10,DAL 15,3,0,Drew Brees pass complete short left to Marques Colston for 2 yards (tackle by Brandon Carr),4.580,4.280
1,5:20,2,8,DAL 13,3,0,Drew Brees pass complete short middle to Mark Ingram for 3 yards (tackle by Sean Lee),4.280,4.000
1,4:34,3,5,DAL 10,3,0,Drew Brees pass complete short left to Ben Watson for 7 yards (tackle by Sean Lee and Byron Jones),4.000,6.510
1,3:52,1,3,DAL 3,3,6,"Drew Brees pass complete short left to Josh Hill for 3 yards, touchdown",6.510,7.000
1,3:52,,,DAL 3,3,7,Zach Hocker kicks extra point good,0.000,0.000
1,3:52,,,NOR 35,3,7,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
1,3:48,1,10,DAL 20,3,7,"Brandon Weeden for 3 yards (tackle by David Hawthorne). Penalty on Brandon Browner: Defensive Holding, 5 yards",0.280,0.810
1,3:20,1,10,DAL 28,3,7,Joseph Randle right tackle for 5 yards (tackle by Bobby Richardson and Hau'oli Kikaha),0.810,0.940
1,2:45,2,5,DAL 33,3,7,Joseph Randle right end for 3 yards (tackle by Kevin Williams and Stephone Anthony),0.940,0.630
1,2:02,3,2,DAL 36,3,7,Brandon Weeden pass complete short right to Jason Witten for 7 yards (tackle by Brandon Browner),0.630,1.800
1,1:20,1,10,DAL 43,3,7,Lance Dunbar right end for 1 yard (tackle by Stephone Anthony),1.800,1.390
1,0:35,2,9,DAL 44,3,7,"Brandon Weeden pass incomplete short right intended for Joseph Randle. Penalty on Keenan Lewis: Illegal Use of Hands, 5 yards (no play)",1.390,2.190
1,0:31,1,10,DAL 49,3,7,Brandon Weeden pass complete short right to Jason Witten for 13 yards (tackle by David Hawthorne),2.190,3.050
Quarter,Time,Down,ToGo,Location,DAL,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 38,3,7,Brandon Weeden pass incomplete short right intended for Gavin Escobar,3.050,2.510
2,14:54,2,10,NOR 38,3,7,Joseph Randle right tackle for 4 yards (tackle by Jairus Byrd),2.510,2.340
2,14:16,3,6,NOR 34,3,7,"Brandon Weeden pass complete short middle to Cole Beasley for 14 yards (tackle by Damian Swann). Penalty on Damian Swann: Face Mask (15 Yards), 10 yards",2.340,4.910
2,13:42,1,10,NOR 10,3,7,"Brandon Weeden pass incomplete short right intended for Brice Butler. Penalty on Delvin Breaux: Defensive Pass Interference, 9 yards (no play)",4.910,6.970
2,13:37,1,1,NOR 1,9,7,"Joseph Randle right guard for 1 yard, touchdown",6.970,7.000
2,13:37,,,NOR 1,10,7,Dan Bailey kicks extra point good,0.000,0.000
2,13:37,,,DAL 35,10,7,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,13:35,1,10,NOR 20,10,7,Drew Brees sacked by Anthony Hitchens for -9 yards,0.280,-1.440
2,13:00,2,19,NOR 11,10,7,Khiry Robinson right guard for 8 yards (tackle by Demarcus Lawrence),-1.440,-1.140
2,12:22,3,11,NOR 19,10,7,"Drew Brees pass incomplete short left intended for Brandon Coleman is intercepted by Barry Church at NOR-32. Penalty on Brandon Carr: Defensive Holding, 5 yards (no play)",-1.140,0.540
2,12:14,1,10,NOR 24,10,7,Mark Ingram right tackle for 10 yards (tackle by Jeff Heath),0.540,1.200
2,11:29,1,10,NOR 34,10,7,Mark Ingram left guard for 1 yard (tackle by Andrew Gachkar and Nick Hayden),1.200,0.790
2,10:58,2,9,NOR 35,10,7,Drew Brees pass complete short left to Khiry Robinson for -4 yards (tackle by Anthony Hitchens),0.790,-0.430
2,10:18,3,13,NOR 31,10,7,Drew Brees pass complete short left to Mark Ingram for 14 yards (tackle by Anthony Hitchens and Barry Church),-0.430,1.930
2,9:35,1,10,NOR 45,10,7,C.J. Spiller left tackle for no gain (tackle by Andrew Gachkar),1.930,1.380
2,8:58,2,10,NOR 45,10,7,Drew Brees pass complete short right to Marques Colston for 4 yards (tackle by Brandon Carr),1.380,1.220
2,8:18,3,6,NOR 49,10,7,Drew Brees sacked by Demarcus Lawrence for -9 yards,1.220,-0.720
2,7:38,4,15,NOR 40,10,7,"Thomas Morstead punts 43 yards, fair catch by Cole Beasley",-0.720,0.060
2,7:30,1,10,DAL 17,10,7,Darren McFadden right guard for 1 yard (tackle by Stephone Anthony),-0.060,-0.420
2,6:50,2,9,DAL 18,10,7,Brandon Weeden pass complete short right to Cole Beasley for 4 yards (tackle by Brandon Browner),-0.420,-0.620
2,6:09,3,5,DAL 22,10,7,"Brandon Weeden middle for 3 yards (tackle by Cameron Jordan). Penalty on Brandon Browner: Defensive Holding, 5 yards",-0.620,0.940
2,5:41,1,10,DAL 30,10,7,Darren McFadden left tackle for 4 yards (tackle by Dannell Ellerbe and Jairus Byrd),0.940,0.930
2,5:05,2,6,DAL 34,10,7,Darren McFadden left end for no gain (tackle by Hau'oli Kikaha),0.930,0.230
2,4:21,3,6,DAL 34,10,7,Brandon Weeden pass complete short left to James Hanna for 7 yards (tackle by Damian Swann),0.230,1.660
2,3:35,1,10,DAL 41,10,7,Darren McFadden left tackle for no gain (tackle by Stephone Anthony),1.660,1.120
2,2:50,2,10,DAL 41,10,7,Brandon Weeden pass complete short right to Tyler Clutts for 4 yards (tackle by Kenny Vaccaro),1.120,0.960
2,2:07,3,6,DAL 45,10,7,Brandon Weeden pass incomplete short left intended for Jason Witten (defended by Brandon Browner),0.960,-0.390
2,2:00,4,6,DAL 45,10,7,Chris Jones punts 40 yards,-0.390,0.220
2,1:50,1,10,NOR 15,10,7,Drew Brees pass complete short right to Brandin Cooks for no gain,-0.220,-0.710
2,1:26,2,10,NOR 15,10,7,Drew Brees pass complete short right to Mark Ingram for 5 yards (tackle by Byron Jones),-0.710,-0.760
2,0:58,3,5,NOR 20,10,7,Drew Brees pass complete short left to Ben Watson for 2 yards (tackle by Byron Jones),-0.760,-0.760
2,0:53,3,5,NOR 20,10,7,Timeout #1 by Dallas Cowboys,-0.760,-1.900
2,0:53,4,3,NOR 22,10,7,"Thomas Morstead punts 33 yards, out of bounds",-1.900,-1.930
2,0:47,1,10,DAL 45,10,7,Brandon Weeden pass incomplete deep right intended for Terrance Williams,1.930,1.380
2,0:41,2,10,DAL 45,10,7,Brandon Weeden sacked by Stephone Anthony for -8 yards,1.380,1.380
2,0:32,2,10,DAL 45,10,7,Timeout #1 by New Orleans Saints,1.380,-0.360
2,0:32,3,18,DAL 37,10,7,Lance Dunbar right tackle for 8 yards (tackle by Delvin Breaux),-0.360,-0.360
2,0:26,3,18,DAL 37,10,7,Timeout #2 by New Orleans Saints,-0.360,-0.390
2,0:26,4,10,DAL 45,10,7,"Chris Jones punts 36 yards, fair catch by Marcus Murphy",-0.390,-0.150
2,0:19,1,10,NOR 19,10,7,Drew Brees pass complete short left to Mark Ingram for 11 yards (tackle by David Irving),0.150,0.150
2,0:12,1,10,NOR 19,10,7,Timeout #3 by New Orleans Saints,0.150,0.940
2,0:12,1,10,NOR 30,10,7,"Drew Brees pass incomplete short right intended for Ben Watson. Penalty on Max Unger: Offensive Holding, 10 yards (no play)",0.940,0.280
2,0:07,1,20,NOR 20,10,7,Drew Brees pass complete short right to Mark Ingram for 14 yards (tackle by Anthony Hitchens),0.280,0.930
Quarter,Time,Down,ToGo,Location,DAL,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,10,7,"Thomas Morstead kicks off 73 yards, returned by Lance Dunbar for 17 yards (tackle by Brian Dixon)",0.000,0.380
3,14:53,1,10,DAL 9,10,7,Joseph Randle right tackle for 2 yards (tackle by Hau'oli Kikaha and Bobby Richardson),-0.380,-0.630
3,14:14,2,8,DAL 11,10,7,Joseph Randle right end for no gain (tackle by Bobby Richardson and David Hawthorne),-0.630,-1.190
3,13:28,3,8,DAL 11,10,7,Brandon Weeden pass complete short left to Cole Beasley for 7 yards (tackle by Kenny Vaccaro),-1.190,-2.240
3,12:56,4,1,DAL 18,10,7,"Chris Jones punts 40 yards, returned by Marcus Murphy for 20 yards (tackle by L.P. Ladouceur)",-2.240,-3.050
3,12:42,1,10,DAL 38,10,7,Mark Ingram left end for -1 yards (tackle by Damien Wilson),3.050,2.370
3,12:11,2,11,DAL 39,10,7,Khiry Robinson left tackle for 1 yard (tackle by Nick Hayden),2.370,1.820
3,11:34,3,10,DAL 38,10,7,Drew Brees pass incomplete deep left intended for Brandin Cooks,1.820,0.720
3,11:29,4,10,DAL 38,10,7,"Thomas Morstead punts 27 yards, fair catch by Cole Beasley. Penalty on Andrew Gachkar: Defensive 12 On-field, 5 yards (no play)",0.720,1.170
3,11:24,4,5,DAL 33,10,10,Zach Hocker 51 yard field goal good,1.170,3.000
3,11:24,,,NOR 35,10,10,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
3,11:19,1,10,DAL 20,10,10,Brandon Weeden pass incomplete short left intended for Terrance Williams (defended by Delvin Breaux),0.280,-0.270
3,11:15,2,10,DAL 20,10,10,Joseph Randle right end for no gain (tackle by Hau'oli Kikaha),-0.270,-0.960
3,10:30,3,10,DAL 20,10,10,"Brandon Weeden pass incomplete short right intended for Terrance Williams. Penalty on Delvin Breaux: Illegal Use of Hands, 5 yards (no play)",-0.960,0.610
3,10:25,1,10,DAL 25,10,10,Joseph Randle left guard for -1 yards (tackle by Bobby Richardson and Hau'oli Kikaha),0.610,-0.070
3,9:45,2,11,DAL 24,10,10,Brandon Weeden pass complete deep left to Brice Butler for 67 yards (tackle by Brandon Browner),-0.070,5.140
3,9:14,1,9,NOR 9,10,10,Brandon Weeden pass incomplete short left intended for Terrance Williams,5.140,4.380
3,9:10,2,9,NOR 9,10,10,Brandon Weeden pass incomplete short right intended for Terrance Williams,4.380,3.360
3,9:06,3,9,NOR 9,10,10,Brandon Weeden sacked by Hau'oli Kikaha for -11 yards,3.360,2.120
3,8:25,4,20,NOR 20,13,10,Dan Bailey 38 yard field goal good,2.120,3.000
3,8:25,,,DAL 35,13,10,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
3,8:20,1,10,NOR 20,13,10,"Drew Brees pass incomplete short left intended for Josh Hill (defended by Andrew Gachkar). Penalty on Morris Claiborne: Defensive Holding, 5 yards (no play)",0.280,0.610
3,8:14,1,10,NOR 25,13,10,Mark Ingram right end for -2 yards (tackle by Damien Wilson and Demarcus Lawrence),0.610,-0.210
3,7:40,2,12,NOR 23,13,10,"Drew Brees pass incomplete short middle intended for Marques Colston (defended by J.J. Wilcox). Penalty on J.J. Wilcox: Illegal Contact, 5 yards (no play)",-0.210,0.810
3,7:34,1,10,NOR 28,13,10,Drew Brees pass complete short left to Willie Snead for 11 yards (tackle by Brandon Carr),0.810,1.530
3,7:07,1,10,NOR 39,13,10,Drew Brees pass complete short left to Brandin Cooks for 13 yards (tackle by Morris Claiborne),1.530,2.390
3,6:31,1,10,DAL 48,13,10,Khiry Robinson right tackle for -2 yards (tackle by Jack Crawford and David Irving),2.390,1.580
3,5:57,2,12,,13,10,Drew Brees pass complete short right to Willie Snead for 11 yards (tackle by Andrew Gachkar),1.580,2.340
3,5:25,3,1,DAL 39,13,10,Mark Ingram left guard for 3 yards (tackle by Anthony Hitchens),2.340,3.180
3,5:10,1,10,DAL 36,13,10,Drew Brees pass complete short right to C.J. Spiller for 2 yards (tackle by Anthony Hitchens),3.180,2.910
3,4:43,2,8,DAL 34,13,10,Drew Brees pass complete short right to C.J. Spiller for 9 yards (tackle by Barry Church),2.910,3.910
3,4:09,1,10,DAL 25,13,10,C.J. Spiller for 10 yards (tackle by Barry Church),3.910,4.580
3,3:38,1,10,DAL 15,13,10,Mark Ingram right guard for 1 yard (tackle by Nick Hayden),4.580,4.110
3,2:57,2,9,DAL 14,13,10,Drew Brees sacked by Jack Crawford for -6 yards,4.110,2.680
3,2:15,3,15,DAL 20,13,10,Drew Brees pass complete short left to Brandin Cooks for 9 yards (tackle by Anthony Hitchens),2.680,2.720
3,1:30,4,6,DAL 11,13,13,Zach Hocker 29 yard field goal good,2.720,3.000
3,1:30,,,NOR 35,13,13,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
3,1:26,1,10,DAL 20,13,13,Darren McFadden right end for 14 yards (tackle by Kenny Phillips),0.280,1.200
3,0:58,1,10,DAL 34,13,13,Darren McFadden left tackle for -3 yards (tackle by Hau'oli Kikaha and Kevin Williams),1.200,0.250
3,0:17,2,13,DAL 31,13,13,Brandon Weeden pass complete short left to Cole Beasley for 15 yards (tackle by Damian Swann),0.250,1.990
Quarter,Time,Down,ToGo,Location,DAL,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DAL 46,13,13,Darren McFadden right guard for 5 yards (tackle by Tyeler Davison),1.990,2.130
4,14:25,2,5,NOR 49,13,13,Darren McFadden left tackle for 1 yard (tackle by Hau'oli Kikaha),2.130,1.550
4,13:44,3,4,NOR 48,13,13,"Brandon Weeden pass complete short right to Devin Street for 5 yards (tackle by Keenan Lewis). Penalty on Devin Street: Illegal Touch Pass, 5 yards (no play)",1.550,0.890
4,13:30,3,9,DAL 47,13,13,Brandon Weeden sacked by Tyeler Davison for -7 yards,0.890,-0.720
4,12:54,4,16,DAL 40,13,13,"Chris Jones punts 40 yards, returned by Marcus Murphy for 8 yards (tackle by Kyle Wilber). Penalty on Corey White: Player Out of Bounds on Punt, 5 yards",-0.720,-1.140
4,12:43,1,10,NOR 33,13,13,Khiry Robinson left end for 5 yards (tackle by Nick Hayden),1.140,1.270
4,12:04,2,5,NOR 38,13,13,Drew Brees pass complete short right to Josh Hill for 8 yards (tackle by Andrew Gachkar),1.270,1.990
4,11:24,1,10,NOR 46,13,13,Drew Brees pass complete short left to Marques Colston for 6 yards (tackle by Morris Claiborne),1.990,2.260
4,10:54,2,4,DAL 48,13,13,Drew Brees pass incomplete short left intended for Mark Ingram,2.260,1.550
4,10:49,3,4,DAL 48,13,13,Drew Brees pass complete short right to Brandin Cooks for 3 yards (tackle by Morris Claiborne),1.550,1.550
4,10:07,3,4,DAL 48,13,13,Timeout #1 by New Orleans Saints,1.550,0.270
4,10:07,4,1,DAL 45,13,13,Drew Brees pass complete short right to Khiry Robinson for 9 yards (tackle by Barry Church). Penalty on Morris Claiborne: Illegal Use of Hands (Declined),0.270,3.180
4,9:41,1,10,DAL 36,13,13,Khiry Robinson right end for 3 yards (tackle by Damien Wilson),3.180,3.040
4,9:07,2,7,DAL 33,13,13,Drew Brees pass complete short right to C.J. Spiller for 9 yards (tackle by Damien Wilson),3.040,3.040
4,8:37,2,7,DAL 33,13,13,Timeout #2 by New Orleans Saints,3.040,3.970
4,8:37,1,10,DAL 24,13,13,Mark Ingram right tackle for 15 yards (tackle by Barry Church),3.970,5.140
4,8:13,1,9,DAL 9,13,13,Mark Ingram right tackle for 8 yards (tackle by Damien Wilson and Barry Church),5.140,5.910
4,8:02,2,1,DAL 1,13,19,"Khiry Robinson left tackle for 1 yard, touchdown. Penalty on Khiry Robinson: Unsportsmanlike Conduct, 15 yards",5.910,7.000
4,8:02,,,DAL 1,13,20,Zach Hocker kicks extra point good,0.000,0.000
4,8:02,,,NOR 20,13,20,"Zach Hocker kicks off 73 yards, returned by Darren McFadden for 23 yards (tackle by Ramon Humber)",0.000,-0.940
4,7:53,1,10,DAL 30,13,20,Darren McFadden left end for 7 yards (tackle by Tyeler Davison and John Jenkins),0.940,1.340
4,7:15,2,3,DAL 37,13,20,Darren McFadden left guard for 2 yards (tackle by John Jenkins and Tyeler Davison),1.340,0.890
4,6:37,3,1,DAL 39,13,20,Christine Michael left guard for -1 yards (tackle by Bobby Richardson),0.890,-0.850
4,5:59,4,2,DAL 38,13,20,"Chris Jones punts 53 yards, returned by Marcus Murphy for 6 yards (tackle by Damien Wilson)",-0.850,0.220
4,5:44,1,10,NOR 15,13,20,Mark Ingram left guard for 5 yards (tackle by Damien Wilson),-0.220,0.080
4,5:12,2,5,NOR 20,13,20,Mark Ingram right tackle for 3 yards (tackle by Demarcus Lawrence),0.080,-0.390
4,4:32,3,2,NOR 23,13,20,Drew Brees pass complete short left to Willie Snead for 20 yards (tackle by J.J. Wilcox),-0.390,1.800
4,4:24,1,10,NOR 43,13,20,Drew Brees pass incomplete short left intended for Brandin Cooks,1.800,1.250
4,4:21,2,10,NOR 43,13,20,Mark Ingram left end for 5 yards (tackle by Anthony Hitchens),1.250,1.220
4,4:16,3,5,NOR 48,13,20,Drew Brees pass incomplete short right intended for Brandin Cooks,1.220,-0.190
4,4:12,4,5,NOR 48,13,20,"Zach Hocker punts 43 yards, fair catch by Cole Beasley",-0.190,0.380
4,4:05,1,10,DAL 9,13,20,Brandon Weeden pass incomplete short middle intended for Jason Witten (defended by John Jenkins),-0.380,-0.780
4,4:01,2,10,DAL 9,13,20,Brandon Weeden pass complete short right to Terrance Williams for 24 yards (tackle by Delvin Breaux),-0.780,1.140
4,3:54,1,10,DAL 33,13,20,Brandon Weeden pass complete deep middle to Jason Witten for 28 yards (tackle by Jairus Byrd),1.140,2.980
4,3:11,1,10,NOR 39,13,20,Brandon Weeden pass complete short middle to Cole Beasley for 19 yards (tackle by Damian Swann),2.980,4.240
4,2:29,1,10,NOR 20,13,20,Brandon Weeden pass incomplete deep left intended for Terrance Williams,4.240,3.690
4,2:24,2,10,NOR 20,13,20,Brandon Weeden pass complete short right to Cole Beasley for 3 yards (tackle by Kenny Vaccaro and Brandon Browner),3.690,3.360
4,2:00,3,7,NOR 17,13,20,Brandon Weeden pass incomplete deep left intended for Terrance Williams (defended by Delvin Breaux),3.360,2.310
4,1:56,4,7,NOR 17,19,20,"Brandon Weeden pass complete deep right to Terrance Williams for 17 yards, touchdown",2.310,7.000
4,1:51,4,7,NOR 17,19,20,Timeout #3 by New Orleans Saints,2.310,0.000
4,1:56,,,NOR 17,20,20,Dan Bailey kicks extra point good,0.000,0.000
4,1:56,,,DAL 35,20,20,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
4,1:51,1,10,NOR 20,20,20,Mark Ingram right end for 2 yards (tackle by Byron Jones),0.280,0.000
4,1:31,2,8,NOR 22,20,20,Drew Brees pass complete short middle to Marques Colston for 7 yards (tackle by Anthony Hitchens and Tyler Patmon),0.000,0.230
4,1:10,3,1,NOR 29,20,20,Mark Ingram left end for 7 yards (tackle by Nick Hayden),0.230,1.330
4,0:48,1,10,NOR 36,20,20,Drew Brees pass complete short middle to Willie Snead for 17 yards (tackle by Nick Hayden),1.330,2.460
4,0:31,1,10,DAL 47,20,20,Drew Brees pass complete deep right to Brandon Coleman for 30 yards (tackle by Anthony Hitchens),2.460,2.460
4,0:24,1,10,DAL 47,20,20,Timeout #1 by Dallas Cowboys,2.460,4.440
4,0:24,1,10,DAL 17,20,20,Mark Ingram left guard for 3 yards (tackle by Brandon Carr),4.440,4.440
4,0:21,1,10,DAL 17,20,20,Timeout #2 by Dallas Cowboys,4.440,4.320
4,0:21,2,7,DAL 14,20,20,Mark Ingram left guard for 2 yards (tackle by Barry Church),4.320,4.320
4,0:16,2,7,DAL 14,20,20,Timeout #3 by Dallas Cowboys,4.320,3.880
4,0:16,3,5,DAL 12,20,20,Zach Hocker 30 yard field goal no good,3.880,-0.280
4,0:12,1,10,DAL 20,20,20,Brandon Weeden kneels for -1 yards,0.280,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,DAL,NOR,Detail,EPB,EPA
,,,,,,,"Saints won the coin toss, Saints to receive the overtime kickoff.",,
OT,15:00,,,DAL 35,20,20,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
OT,15:00,1,10,NOR 20,20,20,Drew Brees pass incomplete short right intended for Khiry Robinson,0.280,-0.270
OT,14:57,2,10,NOR 20,20,26,"Drew Brees pass complete deep right to C.J. Spiller for 80 yards, touchdown",-0.270,7.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
