Quarter,Time,Tm,Detail,TAM,GNB
1.0,5:08,Buccaneers,Joey Galloway 5 yard pass from Brian Griese (Matt Bryant kick),7,0
,2:06,Packers,Robert Ferguson 37 yard pass from Brett Favre (Ryan Longwell kick failed),7,6
2.0,10:35,Buccaneers,Joey Galloway 10 yard pass from Brian Griese (Matt Bryant kick),14,6
,6:48,Buccaneers,Matt Bryant 42 yard field goal,17,6
,4:27,Packers,Antonio Chatman 20 yard pass from Brett Favre (Ryan Longwell kick),17,13
4.0,7:18,Packers,Ryan Longwell 32 yard field goal,17,16
