Unnamed: 0,TEN,CIN
First Downs,22,25
Rush-Yds-TDs,28-149-1,31-116-3
Cmp-Att-Yd-TD-INT,17-34-185-0-2,17-26-184-1-1
Sacked-Yards,2-8,0-0
Net Pass Yards,177,184
Total Yards,326,300
Fumbles-Lost,2-0,0-0
Turnovers,2,1
Penalties-Yards,11-99,7-50
Third Down Conv.,2-12,3-9
Fourth Down Conv.,1-2,0-1
Time of Possession,31:16,28:44
