Quarter,Time,Tm,Detail,TEN,CIN
1.0,4:48,Bengals,Mike Nugent 29 yard field goal,0,3
,0:00,Bengals,Andy Dalton 18 yard pass from Mohamed Sanu (Mike Nugent kick),0,10
2.0,6:25,Bengals,"Safety, Quentin Groves Holding penalty in the end zone.",0,12
,3:29,Bengals,Giovani Bernard 1 yard rush (Mike Nugent kick),0,19
3.0,1:58,Bengals,Giovani Bernard 1 yard rush (Mike Nugent kick),0,26
4.0,9:26,Bengals,Jeremy Hill 4 yard rush (Mike Nugent kick),0,33
,6:09,Titans,Shonn Greene 1 yard rush (Ryan Succop kick),7,33
