Unnamed: 0,DAL,WAS
First Downs,10,16
Rush-Yds-TDs,27-64-0,41-151-1
Cmp-Att-Yd-TD-INT,14-38-128-1-1,11-19-169-1-1
Sacked-Yards,1-10,3-11
Net Pass Yards,118,158
Total Yards,182,309
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,6-74,2-10
Third Down Conv.,4-18,3-14
Fourth Down Conv.,1-3,0-0
Time of Possession,23:48,36:12
