Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Tyler Coyle,DAL,0,4,3,75.0%,39,13.0,9.8,0,105.2,3.5,14,25,0,0,0,0.0,0,6,0,0.0%
Nahshon Wright,DAL,0,3,2,66.7%,52,26.0,17.3,0,109.7,7.0,17,35,0,0,0,0.0,0,1,0,0.0%
Trayvon Mullen,DAL,0,4,2,50.0%,58,29.0,14.5,0,95.8,25.0,55,3,0,0,0,0.0,0,3,0,0.0%
Damone Clark,DAL,0,2,2,100.0%,21,10.5,10.5,1,150.0,5.5,11,10,0,0,0,0.0,0,3,0,0.0%
DaRon Bland,DAL,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-3.0,-3,1,0,0,0,0.0,0,2,0,0.0%
Jayron Kearse,DAL,0,1,1,100.0%,1,1.0,1.0,0,79.2,0.0,0,1,0,0,0,0.0,0,3,0,0.0%
Dorance Armstrong Jr.,DAL,0,0,0,,,,,,,,,,0,0,0,0.5,1,5,0,0.0%
DeMarcus Lawrence,DAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Sam Williams,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
Osa Odighizuwa,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,7,0,0.0%
Micah Parsons,DAL,0,0,0,,,,,,,,,,0,0,0,0.5,1,2,0,0.0%
Malik Hooker,DAL,1,1,0,0.0%,,,0.0,,0.0,5.0,,,0,0,0,0.0,0,4,0,0.0%
Donovan Wilson,DAL,0,2,0,0.0%,,,0.0,,39.6,5.0,,,1,0,0,0.0,0,4,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Danny Johnson,WAS,0,10,6,60.0%,45,7.5,4.5,0,70.8,7.0,33,12,0,0,0,0.0,0,7,0,0.0%
Darrick Forrest,WAS,0,4,2,50.0%,14,7.0,3.5,0,58.3,14.0,12,2,0,0,0,0.0,0,7,0,0.0%
Bobby McCain,WAS,0,5,2,40.0%,23,11.5,4.6,1,94.2,7.6,23,0,0,0,0,0.0,0,1,0,0.0%
Khaleke Hudson,WAS,0,1,1,100.0%,12,12.0,12.0,0,116.7,8.0,8,4,1,0,1,0.0,1,7,0,0.0%
Percy Butler,WAS,0,4,1,25.0%,13,13.0,3.3,0,40.6,30.0,13,0,0,0,0,0.0,0,4,0,0.0%
Jeremy Reaves,WAS,0,3,1,33.3%,11,11.0,3.7,0,45.1,4.7,6,5,0,0,0,0.0,0,3,0,0.0%
Montez Sweat,WAS,0,1,1,100.0%,10,10.0,10.0,0,108.3,6.0,6,4,0,0,0,0.0,0,3,0,0.0%
Daron Payne,WAS,0,0,0,,,,,,,,,,0,0,2,0.0,2,2,0,0.0%
Efe Obada,WAS,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%
Casey Toohill,WAS,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%
David Mayo,WAS,0,2,0,0.0%,,,0.0,,39.6,4.5,,,3,1,0,0.0,1,7,0,0.0%
Kendall Fuller,WAS,1,5,0,0.0%,,,0.0,,0.0,14.2,,,0,0,0,0.0,0,1,0,0.0%
Christian Holmes,WAS,0,1,0,0.0%,,,0.0,,39.6,18.0,,,0,0,0,0.0,0,0,0,
