Quarter,Time,Tm,Detail,PIT,BAL
1,6:06,Steelers,Chris Boswell 28 yard field goal,3,0
2,0:11,Ravens,Justin Tucker 24 yard field goal,3,3
3,12:32,Ravens,Latavius Murray 46 yard rush (Justin Tucker kick),3,10
,7:41,Steelers,Chris Boswell 40 yard field goal,6,10
4,2:54,Steelers,Chase Claypool 6 yard pass from Ben Roethlisberger (Chris Boswell kick),13,10
,1:13,Ravens,Justin Tucker 46 yard field goal,13,13
OT,1:56,Steelers,Chris Boswell 36 yard field goal,16,13
