Unnamed: 0,PIT,BAL
First Downs,19,20
Rush-Yds-TDs,30-79-0,36-249-1
Cmp-Att-Yd-TD-INT,30-44-244-1-1,16-32-141-0-2
Sacked-Yards,1-9,3-9
Net Pass Yards,235,132
Total Yards,314,381
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,6-43,1-5
Third Down Conv.,6-17,3-14
Fourth Down Conv.,1-1,1-2
Time of Possession,36:48,31:16
