Unnamed: 0,LAC,CLE
First Downs,24,18
Rush-Yds-TDs,36-246-3,21-103-0
Cmp-Att-Yd-TD-INT,12-21-215-2-1,22-46-238-1-2
Sacked-Yards,1-12,5-24
Net Pass Yards,203,214
Total Yards,449,317
Fumbles-Lost,2-0,1-0
Turnovers,1,2
Penalties-Yards,10-72,6-53
Third Down Conv.,1-9,6-16
Fourth Down Conv.,0-0,1-3
Time of Possession,31:37,28:23
