Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
2,12:47,1,10,LAC 25,7,3,Philip Rivers pass complete short right to Antonio Gates for 5 yards (tackle by Trevon Coley),0.610,0.740
2,12:08,2,5,LAC 30,7,3,Melvin Gordon right tackle for 13 yards (tackle by Damarious Randall),0.740,1.800
2,11:31,1,10,LAC 43,7,3,Melvin Gordon right tackle for 7 yards (tackle by Denzel Ward),1.800,2.200
2,10:55,2,3,LAC 50,7,3,"Keenan Allen aborted snap, recovered by Austin Ekeler at LAC-31 (tackle by E.J. Gaines)",2.200,-1.020
2,10:05,3,22,LAC 31,7,3,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Myles Garrett),-1.020,-1.310
2,10:02,4,22,LAC 31,7,3,"Donnie Jones punts 41 yards, returned by Jabrill Peppers for 33 yards (tackle by Rayshawn Jenkins)",-1.310,-2.980
2,9:47,1,10,LAC 39,7,3,Baker Mayfield pass complete short left to Jarvis Landry for 4 yards (tackle by Michael Davis),2.980,2.980
2,9:10,2,6,LAC 35,7,3,Carlos Hyde left tackle for no gain (tackle by Darius Philon),2.980,2.280
2,8:28,3,6,LAC 35,7,3,Baker Mayfield sacked by Isaac Rochell for -5 yards,2.280,0.590
2,7:54,4,11,LAC 40,7,3,"Britton Colquitt punts 29 yards, muffed catch by Keenan Allen, recovered by Keenan Allen at LAC-11, returned by Keenan Allen for no gain (tackle by D'Juan Hines)",0.590,0.370
2,7:46,1,10,LAC 11,7,3,Philip Rivers pass complete deep middle to Tyrell Williams for 44 yards (tackle by E.J. Gaines),-0.370,2.590
2,6:43,1,10,CLE 45,13,3,"Philip Rivers pass complete deep left to Tyrell Williams for 45 yards, touchdown",2.590,7.000
2,6:34,,,CLE 15,14,3,Michael Badgley kicks extra point good,0.000,0.000
2,6:34,,,LAC 35,14,3,"Michael Badgley kicks off 65 yards, returned by Jabrill Peppers for no gain (tackle by Austin Ekeler)",0.000,0.340
2,6:28,1,10,CLE 21,14,3,Baker Mayfield pass complete short left to Damion Ratley for 8 yards (tackle by Michael Davis),0.340,0.880
2,5:51,2,2,CLE 29,14,3,Carlos Hyde left guard for 3 yards (tackle by Adrian Phillips),0.880,1.070
2,5:12,1,10,CLE 32,14,3,Nick Chubb right end for 4 yards (tackle by Damion Square),1.070,1.070
2,4:34,2,6,CLE 36,14,3,Baker Mayfield pass complete deep right to David Njoku for 22 yards (tackle by Jahleel Addae),1.070,2.790
2,4:05,1,10,LAC 42,14,3,"Nick Chubb left tackle for 19 yards (tackle by Derwin James). Penalty on Damion Ratley: Offensive Holding, 10 yards",2.790,4.100
2,3:49,1,1,LAC 33,14,3,Baker Mayfield pass complete short right to David Njoku for 2 yards (tackle by Desmond King),4.100,3.510
2,3:13,1,10,LAC 31,14,3,Baker Mayfield pass incomplete short left intended for Jarvis Landry,3.510,2.970
2,3:09,2,10,LAC 31,14,3,Baker Mayfield pass complete short right to Damion Ratley for 8 yards (tackle by Michael Davis),2.970,3.340
2,2:25,3,2,LAC 23,14,3,Baker Mayfield pass incomplete short right,3.340,2.050
2,2:19,4,2,LAC 23,14,3,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,2.050,-0.480
2,2:13,1,10,LAC 23,14,3,Melvin Gordon left tackle for 14 yards (tackle by Denzel Ward),0.480,1.400
2,2:00,1,10,LAC 37,14,3,Philip Rivers pass complete short right to Keenan Allen for 16 yards,1.400,2.460
2,1:53,1,10,CLE 47,14,3,Philip Rivers pass complete short right to Melvin Gordon for 14 yards,2.460,3.380
2,1:47,1,10,CLE 33,14,3,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Joe Schobert),3.380,2.840
2,1:42,2,10,CLE 33,14,3,Philip Rivers pass complete short left to Mike Williams for 4 yards (tackle by T.J. Carrie),2.840,2.680
2,0:57,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:57,3,6,CLE 29,20,3,"Philip Rivers pass complete deep right to Tyrell Williams for 29 yards, touchdown",2.680,7.000
2,0:51,,,CLE 15,21,3,Michael Badgley kicks extra point good,0.000,0.000
2,0:51,,,LAC 35,21,3,"Michael Badgley kicks off 61 yards, returned by Jabrill Peppers for no gain (tackle by Nick Dzubnar)",0.000,1.000
2,0:45,1,10,CLE 31,21,3,Baker Mayfield pass complete short left to Duke Johnson for 14 yards (tackle by Jahleel Addae),1.000,1.930
2,0:37,1,10,CLE 45,21,3,Baker Mayfield pass complete short right to Duke Johnson for 11 yards (tackle by Rayshawn Jenkins and Casey Hayward),1.930,2.650
2,0:28,,,,,,Timeout #1 by Cleveland Browns,,
2,0:28,1,10,LAC 44,21,3,Baker Mayfield pass incomplete short right,2.650,2.110
2,0:21,2,10,LAC 44,21,3,Baker Mayfield pass complete short left to Jarvis Landry for 7 yards (tackle by Desmond King),2.110,2.350
2,0:18,3,3,LAC 37,21,3,Baker Mayfield pass complete deep right to Damion Ratley for 27 yards (tackle by Trevor Williams),2.350,4.910
2,0:11,,,,,,Timeout #2 by Cleveland Browns,,
2,0:11,1,10,LAC 10,21,3,Baker Mayfield pass incomplete short right intended for Antonio Callaway (defended by Adrian Phillips),4.910,4.190
2,0:08,2,10,LAC 10,21,3,Baker Mayfield pass incomplete short middle intended for David Njoku,4.190,3.130
2,0:03,3,10,LAC 10,21,6,Greg Joseph 28 yard field goal good. Penalty on Michael Davis: Leaping (Declined),3.130,3.000
Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,21,6,"Greg Joseph kicks off 68 yards, returned by Desmond King for no gain (tackle by James Burgess)",0.000,0.540
3,14:56,1,10,LAC 24,21,6,Keenan Allen left end for 20 yards (tackle by Joe Schobert),0.540,1.860
3,14:12,1,10,LAC 44,21,6,Melvin Gordon left tackle for 9 yards (tackle by Jamie Collins and Derrick Kindred),1.860,2.530
3,13:33,2,1,CLE 47,21,6,Melvin Gordon right guard for -4 yards (tackle by Jamie Collins),2.530,1.290
3,12:47,,,,,,Timeout #1 by Los Angeles Chargers,,
3,12:47,3,5,LAC 49,21,6,"Penalty on Dan Feeney: False Start, 5 yards (no play)",1.290,0.630
3,12:47,3,10,LAC 44,21,6,Philip Rivers sacked by Joe Schobert and Larry Ogunjobi for -12 yards,0.630,-1.240
3,12:14,4,22,LAC 32,21,6,"Donnie Jones punts 47 yards, muffed catch by Jabrill Peppers, recovered by Jabrill Peppers at CLE-28, returned by Jabrill Peppers for no gain (tackle by Kyle Emanuel)",-1.240,-0.810
3,12:05,1,10,CLE 28,21,6,Baker Mayfield pass short left intended for Jarvis Landry is intercepted by Desmond King at CLE-43 and returned for 33 yards,0.810,-4.910
3,11:54,1,10,CLE 10,27,6,"Melvin Gordon right end for 10 yards, touchdown",4.910,7.000
3,11:49,,,CLE 15,28,6,Michael Badgley kicks extra point good,0.000,0.000
3,11:49,,,LAC 35,28,6,"Michael Badgley kicks off 63 yards, returned by Dontrell Hilliard for no gain (tackle by Uchenna Nwosu and Geremy Davis)",0.000,1.140
3,11:44,1,10,CLE 33,28,6,Carlos Hyde right guard for 3 yards (tackle by Denzel Perryman and Brandon Mebane),1.140,1.000
3,11:11,2,7,CLE 36,28,6,Carlos Hyde left guard for no gain (tackle by Adrian Phillips),1.000,0.300
3,10:36,3,7,CLE 36,28,6,Baker Mayfield pass incomplete short middle intended for David Njoku,0.300,-0.980
3,10:32,4,7,CLE 36,28,6,"Britton Colquitt punts 49 yards, returned by Desmond King for 4 yards (tackle by Briean Boddy-Calhoun)",-0.980,-0.150
3,10:22,1,10,LAC 19,28,6,Austin Ekeler right guard for 7 yards (tackle by Joe Schobert),0.150,0.610
3,9:39,2,3,LAC 26,28,6,Philip Rivers pass complete short left to Keenan Allen for 9 yards (tackle by Brian Price),0.610,1.270
3,9:03,1,10,LAC 35,28,6,"Keenan Allen right end for no gain (tackle by E.J. Gaines). Penalty on Virgil Green: Offensive Holding, 10 yards (no play)",1.270,0.610
3,9:03,1,20,LAC 25,28,6,"Penalty on LAC: Delay of Game, 5 yards (no play)",0.610,0.280
3,8:06,1,25,LAC 20,28,6,Philip Rivers pass complete deep left to Keenan Allen for 20 yards (tackle by Damarious Randall),0.280,1.400
3,7:23,2,5,LAC 40,28,6,Keenan Allen left end for 5 yards (tackle by James Burgess),1.400,1.930
3,6:44,1,10,LAC 45,28,6,"Penalty on Virgil Green: False Start, 5 yards (no play)",1.930,1.600
3,6:23,1,15,LAC 40,28,6,Philip Rivers pass incomplete deep left intended for Keenan Allen,1.600,0.710
3,6:18,2,15,LAC 40,28,6,Austin Ekeler right tackle for 16 yards (tackle by Jamie Collins),0.710,2.650
3,5:30,1,10,CLE 44,28,6,Philip Rivers pass incomplete deep left intended for Tyrell Williams,2.650,2.110
3,5:26,2,10,CLE 44,28,6,"Philip Rivers pass incomplete short middle intended for Tyrell Williams (defended by Denzel Ward). Penalty on Jabrill Peppers: Defensive Holding, 5 yards (no play)",2.110,2.980
3,5:21,1,10,CLE 39,28,6,Austin Ekeler right guard for 13 yards (tackle by Jabrill Peppers),2.980,3.840
3,4:40,1,10,CLE 26,28,6,Austin Ekeler right guard for 5 yards (tackle by Larry Ogunjobi),3.840,3.970
3,3:57,2,5,CLE 21,28,6,Mike Williams left end for 10 yards (tackle by Damarious Randall),3.970,4.840
3,3:15,1,10,CLE 11,34,6,"Melvin Gordon left end for 11 yards, touchdown",4.840,7.000
3,3:12,,,CLE 15,35,6,Michael Badgley kicks extra point good,0.000,0.000
3,3:12,,,LAC 35,35,6,"Michael Badgley kicks off 65 yards, touchback.",0.000,0.610
3,3:12,1,10,CLE 25,35,6,Baker Mayfield pass complete short left to Antonio Callaway for no gain (tackle by Casey Hayward),0.610,0.060
3,2:53,2,10,CLE 25,35,6,Baker Mayfield pass complete short right to Damion Ratley for 6 yards (tackle by Trevor Williams),0.060,0.170
3,2:34,3,4,CLE 31,35,6,Baker Mayfield pass complete short middle to David Njoku for 7 yards (tackle by Rayshawn Jenkins),0.170,1.470
3,2:13,1,10,CLE 38,35,6,Baker Mayfield pass incomplete deep middle intended for David Njoku (defended by Adrian Phillips),1.470,0.920
3,2:07,2,10,CLE 38,35,6,Carlos Hyde left guard for 2 yards (tackle by Denzel Perryman and Jahleel Addae),0.920,0.500
3,1:28,3,8,CLE 40,35,6,Baker Mayfield pass incomplete short right intended for Jarvis Landry,0.500,-0.720
3,1:23,4,8,CLE 40,35,6,"Britton Colquitt punts 44 yards downed by Orson Charles. Penalty on Geremy Davis: Offensive Holding, 8 yards",-0.720,0.380
3,1:12,1,10,LAC 8,35,6,Melvin Gordon left tackle for 8 yards (tackle by Derrick Kindred),-0.380,-0.090
3,0:28,2,2,LAC 16,35,6,Melvin Gordon left tackle for 1 yard (tackle by Jabrill Peppers),-0.090,-0.370
Quarter,Time,Down,ToGo,Location,LAC,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,LAC 17,35,6,Austin Ekeler left end for -2 yards (tackle by Brian Price and Myles Garrett),-0.370,-2.440
4,14:23,4,3,LAC 15,35,6,"Donnie Jones punts 42 yards, fair catch by Jabrill Peppers at CLE-43. Penalty on Michael Davis: Unnecessary Roughness, 15 yards",-2.440,-2.790
4,14:16,1,10,LAC 42,35,6,Nick Chubb left guard for 2 yards (tackle by Denzel Perryman and Brandon Mebane),2.790,2.510
4,13:52,2,8,LAC 40,35,6,Baker Mayfield pass incomplete deep middle intended for Antonio Callaway,2.510,1.820
4,13:47,3,8,LAC 40,35,6,Baker Mayfield pass complete short right to Duke Johnson for 16 yards (tackle by Jahleel Addae),1.820,3.970
4,13:24,1,10,LAC 24,35,6,Baker Mayfield pass complete deep right to Damion Ratley for 23 yards (tackle by Jahleel Addae),3.970,6.970
4,13:03,1,1,LAC 1,35,6,Carlos Hyde left guard for no gain (tackle by Jahleel Addae and Denzel Perryman),6.970,5.910
4,12:33,2,1,LAC 1,35,6,Baker Mayfield pass incomplete short middle intended for Duke Johnson,5.910,5.170
4,12:30,3,1,LAC 1,35,12,"Baker Mayfield pass complete short right to David Njoku for 1 yard, touchdown",5.170,7.000
4,12:26,,,LAC 2,35,14,"Two Point Attempt: Baker Mayfield pass complete to Antonio Callaway, conversion succeeds",0.000,1.000
4,12:26,,,CLE 35,35,14,"Greg Joseph kicks off 58 yards, returned by Derwin James for no gain (tackle by Derrick Kindred and Dontrell Hilliard)",0.000,0.740
4,12:22,1,10,LAC 27,35,14,Melvin Gordon right guard for 5 yards (tackle by Emmanuel Ogbah),0.740,0.870
4,11:38,2,5,LAC 32,35,14,Melvin Gordon left guard for 7 yards (tackle by Jamie Collins),0.870,1.530
4,10:57,1,10,LAC 39,35,14,Austin Ekeler left guard for 20 yards (tackle by Damarious Randall),1.530,2.850
4,10:09,1,10,CLE 41,35,14,Melvin Gordon right tackle for 9 yards (tackle by Denzel Ward),2.850,3.520
4,9:28,2,1,CLE 32,35,14,"Melvin Gordon left guard for 15 yards (tackle by Damarious Randall). Penalty on Damarious Randall: Face Mask (15 Yards), 9 yards",3.520,5.370
4,8:56,1,8,CLE 8,35,14,Austin Ekeler right guard for 1 yard (tackle by Emmanuel Ogbah),5.370,4.760
4,8:13,2,7,CLE 7,35,14,Melvin Gordon right guard for -2 yards (tackle by T.J. Carrie),4.760,3.360
4,7:30,3,9,CLE 9,35,14,"Philip Rivers pass short middle intended for Melvin Gordon is intercepted by Christian Kirksey at CLE-4 and returned for 4 yards. Penalty on Trevon Coley: Unnecessary Roughness, 4 yards",3.360,0.380
4,7:24,1,10,CLE 4,35,14,Duke Johnson left guard for 13 yards (tackle by Melvin Ingram and Brandon Mebane),-0.380,-0.060
4,6:57,1,10,CLE 17,35,14,Baker Mayfield pass short middle intended for David Njoku is intercepted by Desmond King at CLE-25 and returned for no gain,-0.060,-3.910
4,6:52,1,10,CLE 25,35,14,"Tyrell Williams right end for 1 yard (tackle by Jabrill Peppers). Penalty on Sean Culkin: Offensive Holding, 10 yards",3.910,3.310
4,6:26,1,19,CLE 34,35,14,Justin Jackson left guard for 1 yard (tackle by Larry Ogunjobi),3.310,2.280
4,5:43,2,18,CLE 33,35,14,Justin Jackson left guard for -1 yards (tackle by Trevon Coley),2.280,1.490
4,5:01,3,19,CLE 34,35,14,Geno Smith pass complete short right to Justin Jackson for 8 yards (tackle by Larry Ogunjobi),1.490,1.740
4,4:19,4,11,CLE 26,38,14,Michael Badgley 44 yard field goal good,1.740,3.000
4,4:15,,,LAC 35,38,14,"Michael Badgley kicks off 65 yards, touchback.",0.000,0.610
4,4:15,1,10,CLE 25,38,14,Baker Mayfield sacked by Corey Liuget for -6 yards,0.610,-0.810
4,3:34,2,16,CLE 19,38,14,Duke Johnson left tackle for 23 yards (tackle by Derwin James),-0.810,1.730
4,3:02,1,10,CLE 42,38,14,Baker Mayfield pass complete short right to Damion Ratley for 10 yards (tackle by Trevor Williams),1.730,2.390
4,2:35,1,10,LAC 48,38,14,Baker Mayfield pass complete short middle to David Njoku for 5 yards (tackle by Rayshawn Jenkins),2.390,2.520
4,2:15,2,5,LAC 43,38,14,Baker Mayfield pass incomplete short right intended for David Njoku,2.520,1.820
4,2:09,3,5,LAC 43,38,14,Baker Mayfield pass incomplete deep right intended for Damion Ratley,1.820,0.400
4,2:04,,,,,,Timeout #1 by Cleveland Browns,,
4,2:04,4,5,LAC 43,38,14,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,0.400,-1.800
4,1:58,1,10,LAC 43,38,14,Justin Jackson right guard for 4 yards (tackle by Jabrill Peppers and Christian Kirksey),1.800,1.790
4,1:13,2,6,LAC 47,38,14,Geno Smith kneels for -1 yards,1.790,0.960
4,0:35,3,7,LAC 46,38,14,Geno Smith kneels for -1 yards,0.960,-0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
