Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Melvin Gordon,LAC,18,132,3,8,40,2.2,92,5.1,4,4.5
Austin Ekeler,LAC,7,60,0,3,26,3.7,34,4.9,2,3.5
Keenan Allen,LAC,4,41,0,3,31,7.8,10,2.5,1,4.0
Justin Jackson,LAC,3,4,0,,3,1.0,1,0.3,0,
Geno Smith,LAC,2,-2,0,,-2,-1.0,0,0.0,0,
Mike Williams,LAC,1,10,0,1,8,8.0,2,2.0,0,
Tyrell Williams,LAC,1,1,0,0,1,1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Carlos Hyde,CLE,14,34,0,1,-3,-0.2,37,2.6,5,2.8
Nick Chubb,CLE,3,25,0,,6,2.0,19,6.3,2,1.5
Duke Johnson,CLE,2,36,0,2,25,12.5,11,5.5,0,
Baker Mayfield,CLE,2,8,0,1,3,1.5,5,2.5,0,
