Quarter,Time,Tm,Detail,HOU,NWE
1.0,11:50,Patriots,Rob Gronkowski 21 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
,2:33,Texans,Ka'imi Fairbairn 42 yard field goal,3,7
2.0,12:38,Patriots,James White 12 yard pass from Tom Brady (Stephen Gostkowski kick),3,14
,9:01,Texans,Ka'imi Fairbairn 36 yard field goal,6,14
,0:14,Patriots,Phillip Dorsett 4 yard pass from Tom Brady (Stephen Gostkowski kick),6,21
3.0,6:02,Patriots,Stephen Gostkowski 39 yard field goal,6,24
,1:52,Texans,Alfred Blue 1 yard rush (Ka'imi Fairbairn kick),13,24
4.0,9:48,Patriots,Stephen Gostkowski 35 yard field goal,13,27
,2:08,Texans,Bruce Ellington 5 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),20,27
