Quarter,Time,Down,ToGo,Location,HOU,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NWE 25,0,0,Rex Burkhead up the middle for 6 yards (tackle by Kareem Jackson),0.610,0.870
1,14:25,2,4,NWE 31,0,0,James White up the middle for 1 yard (tackle by Zach Cunningham and Christian Covington),0.870,0.300
1,13:49,3,3,NWE 32,0,0,James White up the middle for 1 yard (tackle by Zach Cunningham),0.300,-1.180
1,13:13,4,2,NWE 33,0,0,Ryan Allen punts 45 yards downed by Nate Ebner,-1.180,-0.410
1,13:04,1,10,HOU 22,0,0,"Deshaun Watson aborted snap, recovered by Dont'a Hightower at HOU-19 (tackle by Seantrel Henderson)",0.410,-4.310
1,12:58,1,10,HOU 19,0,0,Tom Brady pass incomplete deep right intended for Rex Burkhead,4.310,3.750
1,12:54,2,10,HOU 19,0,0,Cordarrelle Patterson left end for 3 yards (tackle by Kareem Jackson),3.750,3.410
1,12:09,3,7,HOU 16,0,0,"Penalty on Riley McCarron: False Start, 5 yards (no play)",3.410,2.810
1,11:58,3,12,HOU 21,0,6,"Tom Brady pass complete deep left to Rob Gronkowski for 21 yards, touchdown",2.810,7.000
1,11:50,,,HOU 15,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,11:50,,,NWE 35,0,7,"Stephen Gostkowski kicks off 66 yards, returned by Tyler Ervin for no gain (tackle by Brandon King)",0.000,0.740
1,11:44,1,10,HOU 27,0,7,Lamar Miller left tackle for 1 yard (tackle by Trey Flowers),0.740,0.330
1,11:07,2,9,HOU 28,0,7,Deshaun Watson pass complete short right to Jordan Akins for 3 yards (tackle by Eric Rowe),0.330,0.040
1,10:32,3,6,HOU 31,0,7,Deshaun Watson pass incomplete short middle intended for Ryan Griffin,0.040,-1.310
1,10:28,4,6,HOU 31,0,7,Trevor Daniel punts 36 yards out of bounds,-1.310,-1.140
1,10:21,1,10,NWE 33,0,7,Tom Brady pass complete short left to James Develin for 5 yards (tackle by Zach Cunningham),1.140,1.270
1,9:41,2,5,NWE 38,0,7,Tom Brady pass complete short left to Cordarrelle Patterson for 6 yards (tackle by Zach Cunningham and Johnathan Joseph),1.270,1.860
1,9:05,1,10,NWE 44,0,7,Rex Burkhead right tackle for 3 yards (tackle by Angelo Blackson and Jadeveon Clowney),1.860,1.720
1,8:41,2,7,NWE 47,0,7,Tom Brady pass complete short left to James Develin for 4 yards (tackle by Johnathan Joseph),1.720,1.550
1,8:01,3,3,HOU 49,0,7,Tom Brady pass incomplete short left intended for James White,1.550,0.000
1,7:58,4,3,HOU 49,0,7,"Ryan Allen punts 40 yards, fair catch by Tyler Ervin at HOU-9",0.000,0.380
1,7:51,1,10,HOU 9,0,7,Deshaun Watson pass incomplete short left intended for Jordan Thomas,-0.380,-0.780
1,7:44,2,10,HOU 9,0,7,Lamar Miller left end for 31 yards (tackle by Patrick Chung),-0.780,1.600
1,7:16,1,10,HOU 40,0,7,Deshaun Watson left end for 13 yards (tackle by Patrick Chung),1.600,2.460
1,6:39,1,10,NWE 47,0,7,Deshaun Watson pass incomplete deep right intended for DeAndre Hopkins,2.460,1.910
1,6:30,2,10,NWE 47,0,7,Lamar Miller left guard for 4 yards (tackle by Danny Shelton and Adam Butler),1.910,1.750
1,5:48,3,6,NWE 43,0,7,Deshaun Watson pass incomplete short left intended for Bruce Ellington,1.750,0.400
1,5:45,4,6,NWE 43,0,7,"Trevor Daniel punts 37 yards, fair catch by Riley McCarron at NE-6",0.400,0.380
1,5:39,1,10,NWE 6,0,7,Rex Burkhead up the middle for 6 yards (tackle by Kareem Jackson),-0.380,-0.340
1,5:02,2,4,NWE 12,0,7,Rex Burkhead right tackle for 3 yards (tackle by Benardrick McKinney),-0.340,-0.370
1,4:25,3,1,NWE 15,0,7,"Tom Brady up the middle for no gain. Penalty on Cordarrelle Patterson: Illegal Shift, 5 yards (no play)",-0.370,-0.950
1,4:12,3,6,NWE 10,0,7,Tom Brady pass short middle (defended by Angelo Blackson) intended for James White is intercepted by Tyrann Mathieu at NE-17 and returned for no gain,-0.950,-4.440
1,4:06,1,10,NWE 17,0,7,Deshaun Watson pass incomplete short middle intended for Sammie Coates,4.440,3.850
1,4:02,2,10,NWE 17,0,7,Lamar Miller left guard for no gain (tackle by Lawrence Guy and Trey Flowers),3.850,3.070
1,3:24,3,10,NWE 17,0,7,Deshaun Watson sacked by Trey Flowers and Deatrich Wise for -7 yards,3.070,1.870
1,2:37,4,17,NWE 24,3,7,Ka'imi Fairbairn 42 yard field goal good,1.870,3.000
1,2:33,,,HOU 35,3,7,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,2:33,1,10,NWE 25,3,7,Tom Brady pass complete short left to Phillip Dorsett for 10 yards (tackle by Johnathan Joseph),0.610,1.270
1,1:57,1,10,NWE 35,3,7,Tom Brady pass complete short left to Jeremy Hill for 6 yards (tackle by Johnathan Joseph),1.270,1.530
1,1:19,2,4,NWE 41,3,7,"Tom Brady pass incomplete deep left intended for Rob Gronkowski. Penalty on Johnathan Joseph: Defensive Pass Interference, 14 yards (no play)",1.530,2.590
1,1:14,1,10,HOU 45,3,7,Tom Brady pass complete short left to Chris Hogan for 11 yards (tackle by Kareem Jackson),2.590,3.310
1,0:32,1,10,HOU 34,3,7,Tom Brady pass incomplete short middle intended for James White,3.310,2.770
1,0:29,2,10,HOU 34,3,7,Rex Burkhead right guard for 4 yards (tackle by Benardrick McKinney),2.770,2.610
Quarter,Time,Down,ToGo,Location,HOU,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,HOU 30,3,7,Tom Brady pass complete short left to Rex Burkhead for 5 yards (tackle by Johnathan Joseph),2.610,1.950
2,14:37,4,1,HOU 25,3,7,Tom Brady up the middle for 2 yards (tackle by Brandon Dunn),1.950,4.040
2,13:55,1,10,HOU 23,3,7,Rex Burkhead left guard for 1 yard (tackle by Jadeveon Clowney),4.040,3.630
2,13:23,2,9,HOU 22,3,7,Cordarrelle Patterson right end for 10 yards (tackle by Tyrann Mathieu),3.630,4.780
