Unnamed: 0,DAL,WAS
First Downs,24,24
Rush-Yds-TDs,30-102-3,17-82-1
Cmp-Att-Yd-TD-INT,22-30-292-0-0,28-46-364-1-1
Sacked-Yards,4-14,2-14
Net Pass Yards,278,350
Total Yards,380,432
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,6-39,8-51
Third Down Conv.,6-12,5-12
Fourth Down Conv.,1-1,0-1
Time of Possession,32:51,27:09
