Unnamed: 0,CHI,STL
First Downs,22,28
Rush-Yds-TDs,34-172-2,22-101-1
Cmp-Att-Yd-TD-INT,13-23-200-2-0,34-55-356-3-1
Sacked-Yards,0-0,3-24
Net Pass Yards,200,332
Total Yards,372,433
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,11-86,11-91
Third Down Conv.,6-12,6-17
Fourth Down Conv.,0-0,3-3
Time of Possession,26:39,33:21
