Quarter,Time,Tm,Detail,CHI,STL
2.0,12:45,Rams,Torry Holt 1 yard pass from Marc Bulger (Jeff Wilkins kick failed),0,6
,12:32,Bears,Devin Hester 94 yard kickoff return (Robbie Gould kick),7,6
,7:43,Rams,Steven Jackson 2 yard rush (Jeff Wilkins kick),7,13
,3:30,Bears,Bernard Berrian 34 yard pass from Rex Grossman (Robbie Gould kick),14,13
3.0,8:40,Bears,Thomas Jones 30 yard rush (Robbie Gould kick),21,13
,3:31,Bears,Muhsin Muhammad 14 yard pass from Rex Grossman (Robbie Gould kick),28,13
4.0,13:04,Bears,Adrian Peterson 1 yard rush (Robbie Gould kick),35,13
,7:35,Rams,Torry Holt 6 yard pass from Marc Bulger (Jeff Wilkins kick),35,20
,7:22,Bears,Devin Hester 96 yard kickoff return (Robbie Gould kick),42,20
,4:41,Rams,Steven Jackson 6 yard pass from Marc Bulger (Jeff Wilkins kick),42,27
