Quarter,Time,Tm,Detail,WAS,CAR
1.0,9:32,Panthers,D.J. Moore 10 yard pass from Cam Newton (Zane Gonzalez kick),0,7
2.0,13:29,Football Team,Cam Sims 6 yard pass from Taylor Heinicke (Joey Slye kick),7,7
,5:52,Panthers,Cam Newton 24 yard rush (Zane Gonzalez kick),7,14
,0:09,Football Team,Terry McLaurin 12 yard pass from Taylor Heinicke (Joey Slye kick),14,14
3.0,9:21,Football Team,DeAndre Carter 4 yard pass from Taylor Heinicke (Joey Slye kick),21,14
4.0,10:44,Panthers,Christian McCaffrey 27 yard pass from Cam Newton (Zane Gonzalez kick),21,21
,4:13,Football Team,Joey Slye 36 yard field goal,24,21
,1:50,Football Team,Joey Slye 29 yard field goal,27,21
