Unnamed: 0,WAS,CAR
First Downs,24,18
Rush-Yds-TDs,40-190-0,21-111-1
Cmp-Att-Yd-TD-INT,16-22-206-3-0,21-27-189-2-0
Sacked-Yards,3-27,1-3
Net Pass Yards,179,186
Total Yards,369,297
Fumbles-Lost,3-1,1-0
Turnovers,1,0
Penalties-Yards,8-69,7-65
Third Down Conv.,6-13,2-9
Fourth Down Conv.,2-2,1-3
Time of Possession,35:53,24:07
