Quarter,Time,Down,ToGo,Location,NOR,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Olindo Mare kicks off 60 yards, returned by Luke Lawton for 22 yards (tackle by Brian Simmons)",0.000,1.070
1,14:55,1,10,IND 32,0,0,Peyton Manning pass incomplete short right intended for Joseph Addai (defended by Mike McKenzie),1.070,0.530
1,14:49,2,10,IND 32,0,0,Kenton Keith left end for 7 yards (tackle by Roman Harper),0.530,0.760
1,14:15,3,3,IND 39,0,0,"Penalty on Tony Ugoh: False Start, 5 yards (no play)",0.760,0.100
1,13:55,3,8,IND 34,0,0,Peyton Manning pass incomplete short right intended for Marvin Harrison,0.100,-1.110
1,13:49,4,8,IND 34,0,0,"Hunter Smith punts 48 yards, returned by Reggie Bush for 2 yards (tackle by Matt Giordano)",-1.110,-0.280
1,13:37,1,10,NOR 20,0,0,Deuce McAllister left tackle for 3 yards (tackle by Bob Sanders and Marlin Jackson),0.280,0.140
1,12:57,2,7,NOR 23,0,0,Reggie Bush up the middle for 2 yards (tackle by Robert Mathis and Raheem Brock),0.140,-0.300
1,12:17,3,5,NOR 25,0,0,Drew Brees pass complete short middle to Marques Colston for 10 yards (tackle by Marlin Jackson),-0.300,1.270
1,11:42,1,10,NOR 35,0,0,Drew Brees pass complete short right to Eric Johnson for 6 yards (tackle by Kelvin Hayden),1.270,1.530
1,11:01,2,4,NOR 41,0,0,Drew Brees pass complete short right to Reggie Bush for 3 yards (tackle by Kelvin Hayden),1.530,1.220
1,10:15,3,1,NOR 44,0,0,Reggie Bush right end for 9 yards (tackle by Bob Sanders),1.220,2.460
1,9:31,1,10,IND 47,0,0,Deuce McAllister right end for 1 yard (tackle by Rob Morris),2.460,2.050
1,8:51,2,9,IND 46,0,0,Drew Brees pass complete short middle to Devery Henderson for 6 yards (tackle by Rob Morris),2.050,2.150
1,8:17,3,3,IND 40,0,0,Deuce McAllister right tackle for 5 yards (tackle by Dwight Freeney and Bob Sanders),2.150,3.250
1,7:37,1,10,IND 35,0,0,Drew Brees pass incomplete short right intended for Reggie Bush,3.250,2.700
1,7:31,2,10,IND 35,0,0,Deuce McAllister up the middle for 4 yards (tackle by Freddie Keiaho),2.700,2.540
1,6:51,3,6,IND 31,0,0,Reggie Bush up the middle for -3 yards (tackle by Raheem Brock),2.540,1.060
1,6:14,4,9,IND 34,0,0,Olindo Mare 52 yard field goal no good,1.060,-1.730
1,6:08,1,10,IND 42,0,0,Joseph Addai up the middle for 4 yards (tackle by Scott Shanle),1.730,1.730
1,5:33,2,6,IND 46,0,0,Peyton Manning pass complete short left to Reggie Wayne for no gain,1.730,1.030
1,4:59,3,6,IND 46,0,0,Peyton Manning pass complete short right to Dallas Clark for 9 yards (tackle by Jason Craft),1.030,2.590
1,4:23,1,10,NOR 45,0,0,Joseph Addai right end for 1 yard (tackle by Charles Grant),2.590,2.180
1,3:50,2,9,NOR 44,0,0,Peyton Manning pass complete short right to Marvin Harrison for 8 yards (tackle by Mike McKenzie),2.180,2.540
1,3:05,3,1,NOR 36,0,0,Joseph Addai up the middle for 5 yards (tackle by Antwan Lake),2.540,3.510
1,2:25,1,10,NOR 31,0,0,Joseph Addai up the middle for 4 yards (tackle by Scott Fujita),3.510,3.510
1,1:42,2,6,NOR 27,0,6,"Peyton Manning pass complete deep left to Marvin Harrison for 27 yards, touchdown",3.510,7.000
1,,,,NOR 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Adam Vinatieri kicks off 66 yards, returned by Lance Moore for 17 yards (tackle by Tyjuan Hagler)",0.000,0.340
1,1:31,1,10,NOR 21,0,7,Drew Brees pass incomplete short right intended for Devery Henderson,0.340,-0.200
1,1:27,2,10,NOR 21,0,7,Drew Brees pass complete short right to Eric Johnson for 7 yards (tackle by Rob Morris),-0.200,0.040
1,0:47,3,3,NOR 28,0,7,Drew Brees pass complete short middle to Drew Brees for 2 yards (tackle by Antoine Bethea),0.040,-1.370
1,0:32,4,1,NOR 30,0,7,Steve Weatherford punts 52 yards,-1.370,-0.040
1,0:24,1,10,IND 18,0,7,Joseph Addai right end for 7 yards (tackle by Mike McKenzie and Scott Fujita),0.040,0.550
Quarter,Time,Down,ToGo,Location,NOR,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,IND 25,0,7,Joseph Addai left end for 10 yards (tackle by Roman Harper and Scott Shanle),0.550,1.270
2,14:23,1,10,IND 35,0,7,Joseph Addai left end for 8 yards (tackle by Josh Bullocks),1.270,1.800
2,13:48,2,2,IND 43,0,7,Joseph Addai up the middle for 8 yards (tackle by Mark Simoneau),1.800,2.320
2,13:13,1,10,NOR 49,0,7,Kenton Keith left end for 3 yards (tackle by Jason David),2.320,2.190
2,12:29,2,7,NOR 46,0,7,Kenton Keith right tackle for 4 yards (tackle by Brian Young),2.190,2.020
2,11:44,3,3,NOR 42,6,7,"Peyton Manning pass complete short left to Reggie Wayne for -3 yards (tackle by Jason David). Reggie Wayne fumbles (forced by Jason David), recovered by Jason David at NOR-45 and returned for 55 yards, touchdown",2.020,-7.000
2,,,,IND 2,7,7,Olindo Mare kicks extra point good,0.000,0.000
2,,,,NOR 30,7,7,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
