Unnamed: 0,NOR,IND
First Downs,18,20
Rush-Yds-TDs,26-106-0,29-164-1
Cmp-Att-Yd-TD-INT,28-41-192-0-2,18-30-288-3-0
Sacked-Yards,1-5,0-0
Net Pass Yards,187,288
Total Yards,293,452
Fumbles-Lost,2-1,1-1
Turnovers,3,1
Penalties-Yards,4-20,6-30
Third Down Conv.,6-15,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,31:45,28:15
