Quarter,Time,Tm,Detail,NOR,IND
1.0,1:36,Colts,Marvin Harrison 27 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
2.0,11:32,Saints,Jason David 55 yard defensive fumble return (Olindo Mare kick),7,7
,6:26,Saints,Olindo Mare 34 yard field goal,10,7
,0:45,Colts,Adam Vinatieri 33 yard field goal,10,10
3.0,9:45,Colts,Joseph Addai 2 yard rush (Adam Vinatieri kick),10,17
,6:11,Colts,Reggie Wayne 28 yard pass from Peyton Manning (Adam Vinatieri kick),10,24
4.0,14:12,Colts,Adam Vinatieri 33 yard field goal,10,27
,10:05,Colts,Reggie Wayne 45 yard pass from Peyton Manning (Adam Vinatieri kick),10,34
,0:55,Colts,Matt Giordano 83 yard interception return (Adam Vinatieri kick),10,41
