Quarter,Time,Tm,Detail,NWE,HOU
1.0,6:52,Patriots,Damien Harris 9 yard rush (Nick Folk kick),7,0
,3:36,Texans,Randall Cobb 3 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,7
2.0,8:32,Patriots,Nick Folk 45 yard field goal,10,7
,3:54,Texans,Deshaun Watson 4 yard rush (Ka'imi Fairbairn kick),10,14
,0:10,Texans,Keke Coutee 6 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,21
3.0,8:14,Patriots,Damiere Byrd 42 yard pass from Cam Newton (Nick Folk kick),17,21
,2:04,Texans,Ka'imi Fairbairn 36 yard field goal,17,24
4.0,7:39,Patriots,Nick Folk 36 yard field goal,20,24
,4:11,Texans,Ka'imi Fairbairn 46 yard field goal,20,27
