Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 55 yards, returned by John Simon for 13 yards (tackle by David Thornton)",0.000,0.810
1,15:00,1,10,TEN 28,0,0,Steve McNair right end for 9 yards (tackle by David Gibson),0.810,1.480
1,14:07,1,10,TEN 28,,,Timeout #1 by Tennessee Titans,0.810,1.480
1,14:07,2,1,TEN 37,0,0,Eddie George left guard for 3 yards (tackle by Brad Scioli),1.480,1.600
1,13:25,1,10,TEN 40,0,0,Eddie George left end for 7 yards (tackle by Marcus Washington),1.600,2.000
1,12:44,2,3,TEN 47,0,0,Eddie George left tackle for 2 yards (tackle by Larry Tripplett),2.000,1.550
1,12:05,3,1,TEN 49,0,0,Robert Holcombe right end for 3 yards (tackle by Walt Harris),1.550,2.390
1,11:26,1,10,IND 48,0,0,Steve McNair pass complete to Eddie George for 6 yards (tackle by Brad Scioli),2.390,2.660
1,10:38,2,4,IND 42,0,6,"Steve McNair pass complete to John Simon for 42 yards, touchdown",2.660,7.000
1,10:38,,,IND 42,0,7,Joe Nedney kicks extra point good,0.000,0.000
1,10:38,,,TEN 30,0,7,"Joe Nedney kicks off 65 yards, returned by Troy Walters for 11 yards (tackle by Tony Beckham). Penalty on Joe Jefferson: Offensive Holding, 8 yards",0.000,-0.380
1,10:32,1,10,IND 8,0,7,Edgerrin James right end for 1 yard (tackle by Keith Bulluck),-0.380,-0.710
1,9:47,2,9,IND 9,0,7,Peyton Manning pass complete to Edgerrin James for 8 yards (tackle by Peter Sirmon and Randall Godfrey),-0.710,-0.370
1,9:03,3,1,IND 17,0,7,Peyton Manning pass complete to Marcus Pollard for 24 yards (tackle by Tank Williams),-0.370,1.660
1,8:35,1,10,IND 41,0,7,Edgerrin James left tackle for 20 yards (tackle by Donald Mitchell and Lance Schulters),1.660,2.980
1,7:43,1,10,TEN 39,0,7,Edgerrin James left end for -1 yards (tackle by Keith Bulluck),2.980,2.300
1,6:59,1,10,TEN 39,,,Timeout #1 by Indianapolis Colts,2.980,2.300
1,6:59,2,11,TEN 40,0,7,Peyton Manning pass incomplete intended for Qadry Ismail is intercepted by Keith Bulluck at TEN-40 and returned for 5 yards,2.300,-1.930
1,6:54,1,10,TEN 45,0,7,Eddie George left guard for -1 yards (tackle by Dwight Freeney),1.930,1.250
1,6:13,2,11,TEN 44,0,7,Robert Holcombe right end for 1 yard (tackle by Mike Peterson),1.250,0.700
1,5:30,3,10,TEN 45,0,7,"Penalty on Brad Hopkins: False Start, 5 yards (no play)",0.700,0.040
1,5:10,3,15,TEN 40,0,7,Steve McNair pass complete to Robert Holcombe for 10 yards (tackle by Nick Harper and Mike Peterson),0.040,-0.060
1,4:31,4,5,,0,7,"Craig Hentrich punts 50 yards, touchback",-0.060,-0.280
1,4:20,1,10,IND 20,0,7,Peyton Manning pass incomplete intended for Reggie Wayne,0.280,-0.270
1,4:14,2,10,IND 20,0,7,Peyton Manning pass incomplete intended for Qadry Ismail (defended by Keith Bulluck),-0.270,-0.960
1,4:11,3,10,IND 20,0,7,Peyton Manning pass incomplete intended for Marvin Harrison,-0.960,-2.030
1,4:06,4,10,IND 20,0,7,"Hunter Smith punts 54 yards, returned by John Simon for 10 yards (tackle by Joe Jefferson)",-2.030,-1.330
1,3:55,1,10,TEN 36,0,7,Steve McNair pass incomplete intended for Drew Bennett,1.330,0.790
1,3:51,2,10,TEN 36,0,7,"Steve McNair pass incomplete intended for Drew Bennett. Steve McNair fumbles, recovered by Steve McNair at TEN-24",0.790,0.100
1,3:35,3,10,TEN 36,0,7,Steve McNair pass complete to Frank Wycheck for 11 yards (tackle by Mike Peterson and Nick Harper),0.100,2.060
1,3:09,3,10,TEN 36,,,Timeout #2 by Indianapolis Colts,0.100,2.060
1,3:09,1,10,TEN 47,0,7,Mike Green right guard for 4 yards (tackle by Mike Peterson),2.060,2.060
1,2:32,2,6,IND 49,0,7,Steve McNair pass complete to Erron Kinney for 6 yards (tackle by Rob Morris),2.060,2.720
1,1:59,1,10,IND 43,0,7,Steve McNair pass complete to Derrick Mason for 18 yards (tackle by Jason Doering),2.720,3.910
1,1:15,1,10,IND 25,0,7,Eddie George left guard for 2 yards (tackle by Walt Harris),3.910,3.630
1,0:36,2,8,IND 23,0,7,Steve McNair pass complete to Derrick Mason for 7 yards (tackle by Jason Doering),3.630,4.060
Quarter,Time,Down,ToGo,Location,IND,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,IND 16,0,7,Robert Holcombe right tackle for 6 yards (tackle by Larry Tripplett and Walt Harris),4.060,4.910
2,14:21,1,10,IND 10,0,7,Eddie George left tackle for 3 yards (tackle by Chad Bratzke and Jason Doering),4.910,4.760
2,13:38,2,7,IND 7,0,13,"Eddie George middle for 7 yards, touchdown",4.760,7.000
2,13:38,,,IND 7,0,14,Joe Nedney kicks extra point good,0.000,0.000
2,13:38,,,TEN 30,0,14,"Joe Nedney kicks off 62 yards, returned by Troy Walters for 23 yards (tackle by Robert Holcombe)",0.000,1.000
2,13:38,1,10,IND 31,0,14,Peyton Manning pass complete to Marvin Harrison for 7 yards (tackle by Keith Bulluck),1.000,1.410
2,12:55,2,3,IND 38,0,14,Edgerrin James left tackle for 2 yards (tackle by Henry Ford and Kevin Carter),1.410,0.960
2,12:17,3,1,IND 40,0,14,Peyton Manning pass complete to Reggie Wayne for 49 yards (tackle by Lance Schulters),0.960,4.840
2,11:30,1,10,TEN 11,0,14,Edgerrin James right guard for 5 yards (tackle by Albert Haynesworth),4.840,5.080
2,10:57,2,5,TEN 6,0,14,"Peyton Manning pass incomplete intended for Marcus Pollard. Penalty on Adam Meadows: Offensive Holding, 10 yards (no play)",5.080,3.440
2,10:52,2,15,TEN 16,6,14,"Peyton Manning pass complete to Marcus Pollard for 16 yards, touchdown",3.440,7.000
2,10:52,,,TEN 16,7,14,Mike Vanderjagt kicks extra point good,0.000,0.000
2,10:52,,,IND 30,7,14,"Mike Vanderjagt kicks off 59 yards, returned by John Simon for 21 yards (tackle by Jim Finn)",0.000,1.070
2,10:46,1,10,TEN 32,7,14,Steve McNair pass complete to Derrick Mason for 23 yards (tackle by Jason Doering),1.070,2.590
2,9:59,1,10,IND 45,7,14,Steve McNair pass complete to Frank Wycheck for 2 yards (tackle by David Gibson),2.590,2.310
2,9:21,2,8,IND 43,7,14,Eddie George middle for 1 yard (tackle by Chad Bratzke),2.310,1.750
2,8:40,3,7,IND 42,7,14,Steve McNair pass complete to Derrick Mason for 16 yards (tackle by Jason Doering),1.750,3.840
2,8:06,1,10,IND 26,7,14,Eddie George right tackle for no gain (tackle by Mike Peterson and Larry Tripplett),3.840,3.300
2,7:25,2,10,IND 26,7,14,Steve McNair pass complete to Frank Wycheck for 9 yards (tackle by Mike Peterson),3.300,3.950
2,6:45,3,1,IND 17,7,14,Eddie George right tackle for 3 yards (tackle by Dwight Freeney),3.950,4.650
2,6:03,1,10,IND 14,7,14,Eddie George left tackle for 1 yard (tackle by Larry Tripplett),4.650,4.160
2,5:26,2,9,IND 13,7,14,Steve McNair pass complete to Frank Wycheck for 10 yards (tackle by Mike Peterson),4.160,6.510
2,4:47,1,3,IND 3,7,14,Eddie George left tackle for 2 yards (tackle by Mike Peterson),6.510,5.910
2,4:07,2,1,IND 1,7,20,"Eddie George right tackle for 1 yard, touchdown",5.910,7.000
2,4:07,,,IND 1,7,21,Joe Nedney kicks extra point good,0.000,0.000
2,4:07,,,TEN 30,7,21,"Joe Nedney kicks off 62 yards, returned by Troy Walters for 20 yards (tackle by Brad Kassell). Penalty on Donnel Thompson: Offensive Holding, 10 yards",0.000,0.040
2,4:05,1,10,IND 18,7,21,Edgerrin James left tackle for 1 yard (tackle by Randall Godfrey),0.040,-0.320
2,3:20,2,9,IND 19,7,21,Edgerrin James middle for 3 yards (tackle by Kevin Carter),-0.320,-0.660
2,2:32,3,6,IND 22,7,21,Peyton Manning pass complete to Marvin Harrison for 14 yards (tackle by Rich Coady),-0.660,1.330
2,2:00,1,10,IND 36,7,21,Edgerrin James right end for 2 yards (tackle by Samari Rolle and Peter Sirmon),1.330,1.060
2,1:34,2,8,IND 38,7,21,Peyton Manning pass complete to Marvin Harrison for 10 yards (tackle by Keith Bulluck),1.060,2.130
2,1:15,1,10,IND 48,7,21,Edgerrin James left tackle for 2 yards (tackle by Randall Godfrey),2.130,1.850
2,0:54,2,8,,7,21,Peyton Manning pass complete to Edgerrin James for 4 yards (tackle by Peter Sirmon),1.850,1.680
2,0:25,3,4,TEN 46,7,21,Peyton Manning pass incomplete intended for Reggie Wayne,1.680,0.200
2,0:20,3,4,TEN 46,,,Timeout #2 by Tennessee Titans,1.680,0.200
2,0:20,4,4,TEN 46,7,21,Peyton Manning pass complete to Marvin Harrison for 17 yards,0.200,3.640
2,0:14,1,10,TEN 29,7,21,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Lance Schulters),3.640,3.100
2,0:09,2,10,TEN 29,7,21,Edgerrin James left tackle for 3 yards (tackle by Albert Haynesworth),3.100,2.810
