Unnamed: 0,IND,TEN
First Downs,22,18
Rush-Yds-TDs,24-92-1,33-119-2
Cmp-Att-Yd-TD-INT,26-42-297-1-3,19-23-237-1-0
Sacked-Yards,1-0,1-8
Net Pass Yards,297,229
Total Yards,389,348
Fumbles-Lost,2-0,3-1
Turnovers,3,1
Penalties-Yards,6-48,4-19
Third Down Conv.,9-14,8-12
Fourth Down Conv.,2-2,0-0
Time of Possession,27:14,32:46
