Unnamed: 0,NYG,MIN
First Downs,26,17
Rush-Yds-TDs,35-169-2,26-224-2
Cmp-Att-Yd-TD-INT,25-35-300-2-1,12-26-176-0-0
Sacked-Yards,1-9,5-44
Net Pass Yards,291,132
Total Yards,460,356
Fumbles-Lost,1-0,3-2
Turnovers,1,2
Penalties-Yards,9-84,10-84
Third Down Conv.,1-11,0-9
Fourth Down Conv.,0-1,0-1
Time of Possession,34:14,25:46
