Quarter,Time,Tm,Detail,ATL,ARI
1.0,3:23,Falcons,Matt Bryant 24 yard field goal,3,0
2.0,14:55,Cardinals,Larry Fitzgerald 10 yard pass from Carson Palmer (Jay Feely kick),3,7
,7:38,Falcons,Matt Bryant 30 yard field goal,6,7
,7:25,Cardinals,Andre Ellington 80 yard rush (Jay Feely kick),6,14
,1:55,Cardinals,Michael Floyd 15 yard pass from Carson Palmer (Jay Feely kick),6,21
3.0,7:07,Cardinals,Jay Feely 39 yard field goal,6,24
4.0,8:40,Cardinals,Jay Feely 38 yard field goal,6,27
,4:38,Falcons,Drew Davis 4 yard pass from Matt Ryan (Matt Bryant kick),13,27
