Unnamed: 0,ATL,ARI
First Downs,20,17
Rush-Yds-TDs,14-27-0,30-201-1
Cmp-Att-Yd-TD-INT,34-61-301-1-4,13-18-172-2-1
Sacked-Yards,4-36,3-25
Net Pass Yards,265,147
Total Yards,292,348
Fumbles-Lost,0-0,1-0
Turnovers,4,1
Penalties-Yards,10-55,8-52
Third Down Conv.,8-20,3-10
Fourth Down Conv.,1-2,0-0
Time of Possession,34:19,25:41
