Quarter,Time,Tm,Detail,BAL,CIN
1.0,0:50,Bengals,Shayne Graham 26 yard field goal,0,3
2.0,7:24,Bengals,Rudi Johnson 6 yard rush (Shayne Graham kick),0,10
,3:42,Bengals,Chad Johnson 54 yard pass from Carson Palmer (Shayne Graham kick),0,17
3.0,13:50,Bengals,T.J. Houshmandzadeh 30 yard pass from Carson Palmer (Shayne Graham kick),0,24
,11:10,Bengals,Chris Henry 27 yard pass from Carson Palmer (Shayne Graham kick),0,31
,6:18,Bengals,Shayne Graham 31 yard field goal,0,34
,1:47,Ravens,Derrick Mason 28 yard pass from Kyle Boller (Matt Stover kick),7,34
,0:15,Ravens,Todd Heap 34 yard pass from Kyle Boller (Matt Stover kick),14,34
4.0,11:58,Ravens,Jamal Lewis 5 yard rush (Matt Stover kick),21,34
,6:03,Bengals,Rudi Johnson 3 yard rush (Matt Schobel pass from Carson Palmer),21,42
,1:57,Ravens,Todd Heap 17 yard pass from Kyle Boller (two point pass successful),29,42
