Unnamed: 0,BAL,CIN
First Downs,23,23
Rush-Yds-TDs,33-133-1,32-135-2
Cmp-Att-Yd-TD-INT,18-32-211-3-2,22-30-302-3-1
Sacked-Yards,3-22,0-0
Net Pass Yards,189,302
Total Yards,322,437
Fumbles-Lost,4-1,2-2
Turnovers,3,3
Penalties-Yards,9-91,5-45
Third Down Conv.,7-14,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,29:47,30:13
