Quarter,Time,Down,ToGo,Location,ARI,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Nick Novak kicks off 59 yards, returned by Dominic Rhodes for 10 yards (tackle by Harold Morrow). Penalty on Rob Morris: Offensive Holding, 10 yards",0.000,-0.370
1,14:54,1,10,IND 11,0,0,Peyton Manning pass complete to Marvin Harrison for 5 yards (tackle by Orlando Huff),-0.370,-0.300
1,14:17,2,5,IND 16,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,-0.300,-0.840
1,14:11,3,5,IND 16,0,0,"Peyton Manning sacked by Chike Okeafor for -4 yards. Peyton Manning fumbles (forced by Chike Okeafor), recovered by Ryan Lilja at IND-17",-0.840,-2.320
1,13:40,4,4,IND 17,0,0,"Hunter Smith punts 57 yards, returned by Bryant Johnson for 9 yards (tackle by Keith O'Neil)",-2.320,-1.270
1,13:30,1,10,ARI 35,0,0,Josh McCown pass complete to Marcel Shipp for 12 yards (tackle by Mike Doss),1.270,2.060
1,13:08,1,10,ARI 47,0,0,Marcel Shipp up the middle for 5 yards (tackle by Raheem Brock and Gary Brackett),2.060,2.190
1,12:32,2,5,IND 48,0,0,Marcel Shipp left tackle for 3 yards (tackle by Gary Brackett),2.190,1.880
1,11:52,3,2,IND 45,0,0,"Penalty on Fred Wakefield: False Start, 5 yards (no play)",1.880,1.220
1,11:28,3,7,IND 50,0,0,Josh McCown sacked by Gary Brackett for 0 yards,1.220,-0.060
1,11:14,4,7,IND 50,0,0,"Scott Player punts 28 yards, fair catch by Troy Walters",-0.060,-0.410
1,11:02,1,10,IND 22,0,0,Jim Sorgi pass incomplete intended for Ben Utecht (defended by Tim Bulman),0.410,-0.130
1,10:57,2,10,IND 22,0,0,Jim Sorgi pass complete to Dominic Rhodes for 15 yards (tackle by Robert Griffith),-0.130,1.400
1,10:27,1,10,IND 37,0,0,Jim Sorgi pass complete to Marvin Harrison for 14 yards,1.400,2.320
1,9:58,1,10,ARI 49,0,0,"Jim Sorgi pass complete to Dominic Rhodes for 2 yards (tackle by James Darling and Karlos Dansby). Penalty on Orlando Huff: Defensive Holding, 5 yards (no play)",2.320,2.650
1,9:32,1,10,ARI 44,0,0,Jim Sorgi for 3 yards (tackle by James Darling),2.650,2.520
1,9:04,2,7,ARI 41,0,0,Jim Sorgi pass incomplete intended for Ben Utecht,2.520,1.820
1,9:00,3,7,ARI 41,0,0,Jim Sorgi pass incomplete intended for Bryan Fletcher,1.820,0.530
1,8:55,4,7,ARI 41,0,0,"Hunter Smith punts 27 yards, fair catch by Bryant Johnson",0.530,0.280
1,8:49,1,10,ARI 14,0,0,Josh McCown for 2 yards (tackle by David Thornton and Josh Thomas),-0.280,-0.510
1,8:28,2,8,ARI 16,0,0,"Marcel Shipp up the middle for 5 yards (tackle by David Thornton and Mike Doss). Penalty on Oliver Ross: Offensive Holding, 8 yards (no play)",-0.510,-1.220
1,8:07,2,16,ARI 8,0,0,Josh McCown sacked by Raheem Brock and Dwight Freeney for -7 yards,-1.220,-2.940
1,7:37,,,,0,0,Timeout #1 by Arizona Cardinals,0.000,-2.940
1,7:37,3,23,ARI 1,0,0,Josh McCown pass complete to Bryant Johnson for 8 yards (tackle by Kelvin Hayden),-2.940,-2.490
1,7:11,4,15,ARI 9,0,0,"Scott Player punts 46 yards, returned by Troy Walters for 6 yards (tackle by Harold Morrow)",-2.490,-2.320
1,6:56,1,10,ARI 49,0,0,Jim Sorgi pass complete to Aaron Moorehead for 8 yards (tackle by David Macklin),2.320,2.860
1,6:18,2,2,ARI 41,0,0,Jim Sorgi pass complete to Aaron Moorehead for 24 yards (tackle by David Macklin),2.860,4.440
1,5:35,1,10,ARI 17,0,0,Jim Sorgi pass complete to Aaron Moorehead for 3 yards (tackle by James Darling and Ross Kolodziej),4.440,4.320
1,4:50,2,7,ARI 14,0,6,"Jim Sorgi pass complete to Ben Utecht for 14 yards, touchdown",4.320,7.000
1,,,,ARI 2,0,7,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Jose Cortez kicks off 62 yards, returned by Reggie Swinton for 10 yards (tackle by Darrell Reid)",0.000,-0.040
1,4:39,1,10,ARI 18,0,7,Josh McCown pass complete to Larry Fitzgerald for 6 yards (tackle by Gilbert Gardner),0.040,0.410
1,4:10,2,4,ARI 24,0,7,Josh McCown pass incomplete intended for Larry Fitzgerald,0.410,-0.400
1,4:06,3,4,ARI 24,0,7,"Josh McCown up the middle for 7 yards (tackle by Gary Brackett and Mike Doss). Penalty on Gary Brackett: Illegal Contact, 5 yards",-0.400,1.330
1,3:45,1,10,ARI 36,0,7,Josh McCown pass complete to Larry Fitzgerald for 21 yards (tackle by Nick Harper),1.330,2.720
1,3:04,1,10,IND 43,0,7,Marcel Shipp right tackle for 11 yards (tackle by Gilbert Gardner and Nick Harper),2.720,3.450
1,2:24,1,10,IND 32,0,7,Josh McCown pass complete to Larry Fitzgerald for 5 yards (tackle by David Thornton),3.450,3.580
1,1:59,2,5,IND 27,0,7,Marcel Shipp up the middle for 3 yards (tackle by Gilbert Gardner and Darrell Reid),3.580,3.270
1,1:22,3,2,IND 24,0,7,Josh McCown pass complete to Anquan Boldin for 6 yards (tackle by Nick Harper),3.270,4.370
1,0:45,1,10,IND 18,0,7,Marcel Shipp left tackle for 3 yards (tackle by Gerome Sapp),4.370,4.250
