Quarter,Time,Tm,Detail,ARI,IND
1.0,4:44,Colts,Ben Utecht 14 yard pass from Jim Sorgi (Mike Vanderjagt kick),0,7
2.0,13:04,Cardinals,Neil Rackers 28 yard field goal,3,7
,2:41,Colts,Mike Vanderjagt 44 yard field goal,3,10
3.0,11:26,Colts,Troy Walters 18 yard pass from Jim Sorgi (Mike Vanderjagt kick),3,17
,8:29,Cardinals,Larry Fitzgerald 25 yard pass from Josh McCown (Neil Rackers kick),10,17
4.0,10:59,Cardinals,Neil Rackers 42 yard field goal,13,17
