Unnamed: 0,ARI,IND
First Downs,23,15
Rush-Yds-TDs,31-129-0,10-11-0
Cmp-Att-Yd-TD-INT,31-42-297-1-1,21-32-212-2-1
Sacked-Yards,3-13,2-5
Net Pass Yards,284,207
Total Yards,413,218
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,12-98,7-50
Third Down Conv.,8-17,2-8
Fourth Down Conv.,1-2,0-0
Time of Possession,36:41,23:19
