Quarter,Time,Tm,Detail,TEN,KAN
1.0,11:25,Titans,Roydell Williams 16 yard pass from Vince Young (Rob Bironas kick),7,0
2.0,12:22,Chiefs,Samie Parker 10 yard pass from Brodie Croyle (John Carney kick),7,7
,8:31,Titans,Rob Bironas 37 yard field goal,10,7
,1:47,Chiefs,Kris Wilson 9 yard pass from Brodie Croyle (John Carney kick),10,14
3.0,11:07,Titans,Rob Bironas 37 yard field goal,13,14
,3:49,Chiefs,John Carney 36 yard field goal,13,17
,2:24,Titans,Roydell Williams 41 yard pass from Vince Young (Rob Bironas kick),20,17
4.0,14:56,Titans,Rob Bironas 40 yard field goal,23,17
,5:42,Titans,Rob Bironas 25 yard field goal,26,17
