Unnamed: 0,TEN,KAN
First Downs,19,17
Rush-Yds-TDs,36-148-0,21-89-0
Cmp-Att-Yd-TD-INT,16-26-191-2-0,25-43-217-2-2
Sacked-Yards,1-12,0-0
Net Pass Yards,179,217
Total Yards,327,306
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,5-35,8-61
Third Down Conv.,3-11,11-17
Fourth Down Conv.,0-0,1-1
Time of Possession,30:42,29:18
