Unnamed: 0,GNB,IND
First Downs,21,28
Rush-Yds-TDs,24-149-1,30-119-1
Cmp-Att-Yd-TD-INT,20-32-235-3-1,31-55-362-2-1
Sacked-Yards,5-28,4-17
Net Pass Yards,207,345
Total Yards,356,464
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,9-89,9-100
Third Down Conv.,4-13,8-20
Fourth Down Conv.,0-0,0-1
Time of Possession,24:44,35:16
