Quarter,Time,Down,ToGo,Location,GNB,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 74 yards, touchback",0.000,0.280
1,15:00,1,10,IND 20,0,0,Andrew Luck pass complete short right to Reggie Wayne for 6 yards (tackle by Charles Woodson),0.280,0.540
1,14:28,2,4,IND 26,0,0,Andrew Luck pass incomplete short right intended for Donnie Avery,0.540,-0.160
1,14:23,3,4,IND 26,0,0,Andrew Luck pass complete short left to Reggie Wayne for 19 yards (tackle by Morgan Burnett),-0.160,1.930
1,13:50,1,10,IND 45,0,0,Donald Brown right end for 3 yards (tackle by Jerel Worthy),1.930,1.790
1,13:11,2,7,IND 48,0,0,Donald Brown up the middle for 1 yard (tackle by Erik Walden and A.J. Hawk),1.790,1.220
1,12:37,3,6,IND 49,0,0,Andrew Luck pass incomplete short left intended for Donnie Avery (defended by Erik Walden),1.220,-0.130
1,12:33,4,6,IND 49,0,0,"Pat McAfee punts 42 yards, fair catch by Randall Cobb",-0.130,0.380
1,12:26,1,10,GNB 9,0,0,Aaron Rodgers pass complete short left to Jermichael Finley for 2 yards (tackle by Cassius Vaughn),-0.380,-0.630
1,11:56,2,8,GNB 11,0,0,Aaron Rodgers pass complete short left to Jermichael Finley for 3 yards (tackle by Jerrell Freeman),-0.630,-0.840
1,11:19,3,5,GNB 14,0,0,Aaron Rodgers left guard for 15 yards (tackle by Josh Gordy),-0.840,0.870
1,10:43,1,10,GNB 29,0,0,Cedric Benson left tackle for 4 yards (tackle by Antoine Bethea and Drake Nevis),0.870,0.870
1,10:09,2,6,GNB 33,0,0,Cedric Benson left end for no gain (tackle by Kavell Conner and Cory Redding),0.870,0.170
1,9:24,3,6,GNB 33,0,0,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,0.170,-1.180
1,9:15,4,6,GNB 33,0,0,"Tim Masthay punts 57 yards, returned by T.Y. Hilton for 6 yards (tackle by Jarrett Bush)",-1.180,0.140
1,9:08,1,10,IND 16,0,0,"Andrew Luck pass incomplete deep right intended for T.Y. Hilton. Penalty on Clay Matthews: Defensive Offside (Offsetting), Penalty on Anthony Castonzo: Illegal Use of Hands (Offsetting) (no play)",-0.140,-0.140
1,9:00,1,10,IND 16,0,0,Donald Brown right end for 14 yards (tackle by Sam Shields),-0.140,0.940
1,8:26,1,10,IND 30,0,0,Andrew Luck pass complete short right to T.Y. Hilton for 9 yards (tackle by D.J. Smith),0.940,1.610
1,7:55,2,1,IND 39,0,0,Donald Brown up the middle for 8 yards (tackle by Charles Woodson),1.610,2.060
1,7:22,1,10,IND 47,0,0,"Donald Brown right tackle for 1 yard (tackle by B.J. Raji). Penalty on Clay Matthews: Defensive Offside, 5 yards (no play)",2.060,2.790
1,6:56,1,5,GNB 48,0,0,"Penalty on Winston Justice: False Start, 5 yards (no play)",2.790,2.060
1,6:30,1,10,IND 47,0,0,Vick Ballard up the middle for -2 yards (tackle by A.J. Hawk),2.060,1.250
1,5:50,2,12,IND 45,0,0,Andrew Luck pass complete short left to Reggie Wayne for 9 yards (tackle by Tramon Williams),1.250,1.750
1,5:07,3,3,GNB 46,0,0,Andrew Luck pass complete short right to Coby Fleener for 2 yards (tackle by Charles Woodson),1.750,0.330
1,4:43,4,1,GNB 44,0,0,Andrew Luck right guard for no gain (tackle by A.J. Hawk). Penalty on Donnie Avery: Illegal Shift (Declined),0.330,-1.860
1,4:40,1,10,GNB 44,0,0,Cedric Benson up the middle for 2 yards (tackle by Drake Nevis),1.860,1.590
1,3:58,2,8,GNB 46,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 19 yards (tackle by Antoine Bethea),1.590,3.250
1,3:51,1,10,IND 35,0,0,Cedric Benson up the middle for 9 yards (tackle by Kavell Conner),3.250,3.920
1,3:15,2,1,IND 26,0,0,Cedric Benson up the middle for 1 yard (tackle by Josh Gordy),3.920,3.910
1,2:56,1,10,IND 25,0,0,"Aaron Rodgers pass incomplete deep left intended for Jordy Nelson (defended by Cassius Vaughn). Penalty on Drake Nevis: Defensive Offside, 5 yards, Penalty on Drake Nevis: Defensive 12 On-field (Declined) (no play)",3.910,4.640
1,2:49,1,5,IND 20,0,0,Aaron Rodgers pass complete short right to Cedric Benson for 18 yards (tackle by Cory Redding),4.640,6.740
1,2:10,1,2,IND 2,6,0,"John Kuhn up the middle for 2 yards, touchdown",6.740,7.000
1,2:10,,,IND 2,7,0,Mason Crosby kicks extra point good,0.000,0.000
1,2:07,,,GNB 35,7,0,"Mason Crosby kicks off 74 yards, touchback",0.000,0.280
1,2:07,1,10,IND 20,7,0,Andrew Luck pass complete short right to T.Y. Hilton for 2 yards (tackle by Erik Walden),0.280,0.000
1,1:35,2,8,IND 22,7,0,Vick Ballard up the middle for 3 yards (tackle by D.J. Smith and A.J. Hawk),0.000,-0.300
1,0:53,3,5,IND 25,7,0,Andrew Luck pass complete short right to Donnie Avery for 4 yards (tackle by Sam Shields),-0.300,-1.440
1,0:22,4,1,IND 29,7,0,"Pat McAfee punts 44 yards, returned by Randall Cobb for 8 yards (tackle by Matt Overton)",-1.440,-1.270
1,0:11,1,10,GNB 35,7,0,Aaron Rodgers pass complete short right to Jordy Nelson for 10 yards (tackle by Jerraud Powers),1.270,1.930
Quarter,Time,Down,ToGo,Location,GNB,IND,Detail,EPB,EPA
