Quarter,Time,Tm,Detail,GNB,IND
1.0,2:07,Packers,John Kuhn 2 yard rush (Mason Crosby kick),7,0
2.0,12:25,Packers,James Jones 6 yard pass from Aaron Rodgers (Mason Crosby kick),14,0
,6:21,Colts,Adam Vinatieri 24 yard field goal,14,3
,4:21,Packers,Randall Cobb 31 yard pass from Aaron Rodgers (Mason Crosby kick),21,3
3.0,11:06,Colts,Dwayne Allen 8 yard pass from Andrew Luck (Adam Vinatieri kick),21,10
,7:42,Colts,Adam Vinatieri 50 yard field goal,21,13
,0:18,Colts,Andrew Luck 3 yard rush (pass failed),21,19
4.0,8:04,Colts,Adam Vinatieri 28 yard field goal,21,22
,4:30,Packers,James Jones 8 yard pass from Aaron Rodgers (pass failed),27,22
,0:35,Colts,Reggie Wayne 4 yard pass from Andrew Luck (Donald Brown run),27,30
