Unnamed: 0,NYJ,CLE
First Downs,20,29
Rush-Yds-TDs,20-93-0,37-184-3
Cmp-Att-Yd-TD-INT,27-45-324-4-0,22-27-229-1-1
Sacked-Yards,2-15,1-8
Net Pass Yards,309,221
Total Yards,402,405
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,8-57,5-38
Third Down Conv.,8-15,8-12
Fourth Down Conv.,1-1,0-0
Time of Possession,27:46,32:14
