Quarter,Time,Tm,Detail,NYJ,CLE
1.0,4:55,Browns,Nick Chubb 4 yard rush (Cade York kick),0,7
2.0,13:06,Jets,Garrett Wilson 2 yard pass from Joe Flacco (Greg Zuerlein kick),7,7
,8:17,Browns,Amari Cooper 6 yard pass from Jacoby Brissett (Cade York kick),7,14
,0:11,Jets,Breece Hall 10 yard pass from Joe Flacco (Greg Zuerlein kick),14,14
3.0,9:58,Browns,Cade York 22 yard field goal,14,17
4.0,14:19,Jets,Greg Zuerlein 57 yard field goal,17,17
,9:20,Browns,Nick Chubb 7 yard rush (Cade York kick),17,24
,1:55,Browns,Nick Chubb 12 yard rush (Cade York kick failed),17,30
,1:22,Jets,Corey Davis 66 yard pass from Joe Flacco (Greg Zuerlein kick),24,30
,0:22,Jets,Garrett Wilson 15 yard pass from Joe Flacco (Greg Zuerlein kick),31,30
