Quarter,Time,Tm,Detail,PHI,CAR
1.0,9:34,Panthers,John Kasay 20 yard field goal,0,3
,4:05,Eagles,Duce Staley 2 yard rush (David Akers kick),7,3
2.0,3:10,Eagles,David Akers 35 yard field goal,10,3
3.0,7:16,Eagles,David Akers 48 yard field goal,13,3
,2:45,Panthers,Steve Smith Sr. 24 yard pass from Jake Delhomme (John Kasay kick),13,10
4.0,12:55,Eagles,David Akers 38 yard field goal,16,10
,11:56,Eagles,James Thrash 10 yard pass from Donovan McNabb (pass failed),22,10
,6:42,Panthers,Muhsin Muhammad 23 yard pass from Jake Delhomme (John Kasay kick failed),22,16
,0:25,Eagles,David Akers 29 yard field goal,25,16
