Unnamed: 0,PHI,CAR
First Downs,17,19
Rush-Yds-TDs,28-124-1,29-136-0
Cmp-Att-Yd-TD-INT,18-26-182-1-1,18-29-216-2-0
Sacked-Yards,3-23,2-16
Net Pass Yards,159,200
Total Yards,283,336
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,4-35,9-70
Third Down Conv.,5-12,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,29:54,30:06
