Unnamed: 0,KAN,CLE
First Downs,12,20
Rush-Yds-TDs,26-180-1,35-154-2
Cmp-Att-Yd-TD-INT,10-21-159-0-1,17-30-217-0-0
Sacked-Yards,5-29,3-19
Net Pass Yards,130,198
Total Yards,310,352
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,5-35,7-55
Third Down Conv.,1-11,5-15
Fourth Down Conv.,0-1,0-0
Time of Possession,26:31,33:29
