Unnamed: 0,CIN,BUF
First Downs,17,25
Rush-Yds-TDs,19-66-1,36-175-1
Cmp-Att-Yd-TD-INT,20-36-250-1-2,23-36-243-1-1
Sacked-Yards,2-10,1-2
Net Pass Yards,240,241
Total Yards,306,416
Fumbles-Lost,2-2,3-1
Turnovers,4,2
Penalties-Yards,8-54,7-55
Third Down Conv.,3-11,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,23:06,36:54
