Quarter,Time,Tm,Detail,CIN,BUF
1.0,3:03,Bills,Dawson Knox 1 yard pass from Josh Allen (Cole Beasley pass from Josh Allen),0,8
2.0,10:29,Bills,Stephen Hauschka 34 yard field goal,0,11
,2:11,Bills,Stephen Hauschka 45 yard field goal,0,14
3.0,5:50,Bengals,Andy Dalton 1 yard rush (Randy Bullock kick),7,14
4.0,12:27,Bengals,Joe Mixon 1 yard pass from Andy Dalton (Randy Bullock kick),14,14
,4:54,Bengals,Randy Bullock 43 yard field goal,17,14
,1:50,Bills,Frank Gore 1 yard rush (Stephen Hauschka kick),17,21
