Unnamed: 0,CLE,PIT
First Downs,20,34
Rush-Yds-TDs,31-127-2,16-52-1
Cmp-Att-Yd-TD-INT,21-34-263-3-0,47-68-501-4-4
Sacked-Yards,0-0,0-0
Net Pass Yards,263,501
Total Yards,390,553
Fumbles-Lost,0-0,1-1
Turnovers,0,5
Penalties-Yards,3-20,4-25
Third Down Conv.,6-14,8-15
Fourth Down Conv.,0-0,3-3
Time of Possession,27:14,32:46
