Quarter,Time,Tm,Detail,CLE,PIT
1.0,14:46,Browns,Karl Joseph fumble recovery in end zone (Cody Parkey kick),7,0
,9:46,Browns,Jarvis Landry 40 yard pass from Baker Mayfield (Cody Parkey kick),14,0
,4:40,Browns,Kareem Hunt 11 yard rush (Cody Parkey kick),21,0
,1:56,Browns,Kareem Hunt 8 yard rush (Cody Parkey kick),28,0
2.0,1:44,Steelers,James Conner 1 yard rush (Chris Boswell kick),28,7
,0:34,Browns,Austin Hooper 7 yard pass from Baker Mayfield (Cody Parkey kick),35,7
,0:00,Steelers,Chris Boswell 49 yard field goal,35,10
3.0,7:22,Steelers,Eric Ebron 17 yard pass from Ben Roethlisberger (pass failed),35,16
,2:57,Steelers,JuJu Smith-Schuster 5 yard pass from Ben Roethlisberger (Chris Boswell kick),35,23
4.0,12:32,Browns,Nick Chubb 40 yard pass from Baker Mayfield (Cody Parkey kick),42,23
,11:08,Steelers,Chase Claypool 29 yard pass from Ben Roethlisberger (pass failed),42,29
,4:28,Browns,Cody Parkey 24 yard field goal,45,29
,2:51,Browns,Cody Parkey 37 yard field goal,48,29
,1:09,Steelers,Chase Claypool 7 yard pass from Ben Roethlisberger (James Conner pass from Ben Roethlisberger),48,37
