Unnamed: 0,ATL,CAR
First Downs,17,19
Rush-Yds-TDs,23-118-0,33-107-1
Cmp-Att-Yd-TD-INT,21-41-158-0-0,20-29-294-2-0
Sacked-Yards,2-8,0-0
Net Pass Yards,150,294
Total Yards,268,401
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,5-45,11-90
Third Down Conv.,2-13,3-12
Fourth Down Conv.,0-2,0-0
Time of Possession,27:45,32:15
