Unnamed: 0,CAR,CHI
First Downs,24,15
Rush-Yds-TDs,26-169-2,31-224-2
Cmp-Att-Yd-TD-INT,27-46-374-1-1,9-17-102-0-1
Sacked-Yards,0-0,1-9
Net Pass Yards,374,93
Total Yards,543,317
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,8-52,5-45
Third Down Conv.,2-12,3-10
Fourth Down Conv.,1-2,1-1
Time of Possession,33:29,26:31
