Quarter,Time,Tm,Detail,CAR,CHI
1.0,9:34,Panthers,Olindo Mare 29 yard field goal,3,0
,4:19,Bears,Robbie Gould 20 yard field goal,3,3
,3:20,Bears,D.J. Moore 20 yard interception return (Robbie Gould kick),3,10
2.0,14:55,Panthers,Cam Newton 1 yard rush (Olindo Mare kick),10,10
,13:24,Bears,Matt Forte 17 yard rush (Robbie Gould kick),10,17
,11:32,Bears,Devin Hester 69 yard punt return (Robbie Gould kick),10,24
,6:29,Panthers,Cam Newton 2 yard rush (Olindo Mare kick),17,24
,0:06,Panthers,Olindo Mare 39 yard field goal,20,24
4.0,14:55,Panthers,Olindo Mare 38 yard field goal,23,24
,6:41,Bears,Robbie Gould 24 yard field goal,23,27
,1:23,Bears,Marion Barber III 3 yard rush (Robbie Gould kick),23,34
,0:04,Panthers,Greg Olsen 3 yard pass from Cam Newton (pass failed),29,34
