Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Zack Moss left end for 24 yards (tackle by Daryl Worley),0.610,2.190
1,14:37,1,10,IND 49,0,0,Zack Moss left tackle for 2 yards (tackle by David Ojabo and Michael Pierce),2.190,1.920
1,14:01,2,8,BAL 49,0,0,Gardner Minshew pass incomplete deep left intended for Alec Pierce,1.920,1.220
1,13:56,3,8,BAL 49,0,0,Gardner Minshew sacked by Kyle Hamilton for -10 yards,1.220,-0.650
1,13:17,4,18,IND 41,0,0,"Rigoberto Sanchez punts 46 yards, returned by Devin Duvernay for 7 yards (tackle by Andrew Ogletree)",-0.650,-0.280
1,13:06,1,10,BAL 20,0,0,Lamar Jackson left end for 11 yards (tackle by Rodney Thomas),0.280,1.000
1,12:29,1,10,BAL 31,0,0,Lamar Jackson pass complete short middle to Mark Andrews for 5 yards (tackle by Shaquille Leonard and Zaire Franklin),1.000,1.140
1,11:56,2,5,BAL 36,0,0,Gus Edwards up the middle for -1 yards (tackle by Samson Ebukam),1.140,0.300
1,11:21,3,6,BAL 35,0,0,Lamar Jackson pass complete short right to Zay Flowers for 6 yards (tackle by Julius Brents),0.300,1.660
1,10:43,1,10,BAL 41,0,0,Lamar Jackson pass complete short middle to Zay Flowers for 8 yards (tackle by Julius Brents),1.660,2.200
1,10:10,2,2,BAL 49,0,0,Lamar Jackson scrambles up the middle for 5 yards (tackle by Shaquille Leonard),2.200,2.520
1,9:33,1,10,IND 46,0,0,Gus Edwards left guard for 5 yards (tackle by Taven Bryan and Dayo Odeyingbo),2.520,2.650
1,8:54,2,5,IND 41,0,0,Lamar Jackson pass complete short left to Rashod Bateman for 6 yards (tackle by Dallis Flowers),2.650,3.250
1,8:27,1,10,IND 35,0,0,Lamar Jackson scrambles right end for 2 yards (tackle by Kenny Moore),3.250,2.970
1,7:52,2,8,IND 33,0,0,Lamar Jackson pass complete deep right to Isaiah Likely for 20 yards (tackle by Rodney Thomas),2.970,4.710
1,7:14,1,10,IND 13,0,0,Gus Edwards right guard for 5 yards (tackle by Samson Ebukam),4.710,4.960
1,6:42,2,5,IND 8,0,6,"Lamar Jackson right end for 8 yards, touchdown",4.960,7.000
1,6:35,,,IND 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,6:35,,,BAL 35,0,7,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,6:35,1,10,IND 25,0,7,Gardner Minshew pass complete short left to Josh Downs for 5 yards (tackle by Brandon Stephens),0.610,0.740
1,6:17,2,5,IND 30,0,7,Zack Moss left guard for 4 yards (tackle by Brandon Stephens and Travis Jones),0.740,0.560
1,5:43,3,1,IND 34,0,7,Zack Moss left guard for 2 yards (tackle by Tavius Robinson and Kyle Hamilton),0.560,1.330
1,4:58,1,10,IND 36,0,7,Gardner Minshew pass complete short middle to Kylen Granson for 2 yards (tackle by Jeremiah Moon),1.330,1.060
1,4:18,2,8,IND 38,0,7,Gardner Minshew pass incomplete short left intended for Michael Pittman (defended by Brandon Stephens),1.060,0.370
1,4:13,3,8,IND 38,0,7,Gardner Minshew sacked by Kyle Hamilton for -10 yards,0.370,-1.500
1,3:36,4,18,IND 28,0,7,Rigoberto Sanchez punts 47 yards out of bounds,-1.500,-0.610
1,3:27,1,10,BAL 25,0,7,Gus Edwards up the middle for 9 yards (tackle by Julian Blackmon),0.610,1.280
1,2:52,2,1,BAL 34,0,7,Lamar Jackson pass complete deep right to Mark Andrews for 20 yards (tackle by Rodney Thomas),1.280,2.520
1,2:17,1,10,IND 46,0,7,"Lamar Jackson pass complete short middle to Kenyan Drake for 24 yards. Kenyan Drake fumbles (forced by Julius Brents), recovered by Julius Brents at IND-20",2.520,-0.280
1,2:07,1,10,IND 20,0,7,Zack Moss up the middle for 3 yards (tackle by Michael Pierce),0.280,0.140
1,1:35,2,7,IND 23,0,7,Zack Moss left tackle for 12 yards (tackle by Geno Stone),0.140,1.270
1,1:04,1,10,IND 35,0,7,Gardner Minshew pass incomplete short right intended for Andrew Ogletree (defended by Roquan Smith),1.270,0.720
1,1:00,2,10,IND 35,0,7,Gardner Minshew pass complete short right to Isaiah McKenzie for 3 yards (tackle by Daryl Worley and Roquan Smith),0.720,0.430
1,0:20,3,7,IND 38,0,7,Gardner Minshew pass complete short middle to Michael Pittman for 13 yards (tackle by Geno Stone),0.430,2.320
Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 49,0,7,Zack Moss right guard for -1 yards (tackle by Brent Urban),2.320,1.650
2,14:23,2,11,BAL 50,0,7,Gardner Minshew pass complete short left to Michael Pittman for no gain (tackle by Kyle Hamilton),1.650,0.960
2,13:45,3,11,BAL 50,0,7,Gardner Minshew pass complete short left to Michael Pittman for 4 yards (tackle by Patrick Queen and Brandon Stephens),0.960,0.200
2,13:04,4,7,BAL 46,0,7,Rigoberto Sanchez punts 39 yards downed by Segun Olubi,0.200,0.380
2,12:56,1,10,BAL 7,0,7,Melvin Gordon up the middle for 2 yards (tackle by Zaire Franklin and Kenny Moore),-0.380,-0.630
2,12:21,2,8,BAL 9,0,7,Melvin Gordon left guard for 4 yards (tackle by Kwity Paye and Grover Stewart),-0.630,-0.720
2,11:39,3,4,BAL 13,0,7,"Lamar Jackson sacked by Samson Ebukam for -5 yards. Lamar Jackson fumbles (forced by Samson Ebukam), recovered by Lamar Jackson at BAL-8",-0.720,-2.490
2,10:48,4,9,BAL 8,0,7,Jordan Stout punts 65 yards downed by Trenton Simpson,-2.490,-0.740
2,10:36,1,10,IND 27,0,7,Gardner Minshew pass complete deep middle to Alec Pierce for 23 yards (tackle by Geno Stone),0.740,2.260
2,10:03,1,10,BAL 50,0,7,Trey Sermon right guard for 2 yards (tackle by Brent Urban),2.260,1.980
2,9:19,2,8,BAL 48,0,7,Gardner Minshew pass complete short middle to Kylen Granson for 7 yards (tackle by Geno Stone),1.980,2.210
2,8:57,3,1,BAL 41,0,7,Zack Moss up the middle for 2 yards (tackle by Kyle Hamilton and Jeremiah Moon),2.210,2.980
2,8:30,1,10,BAL 39,0,7,Gardner Minshew pass complete short right to Josh Downs for 9 yards (tackle by Rock Ya-Sin),2.980,3.660
2,8:07,2,1,BAL 30,0,7,Zack Moss up the middle for 6 yards (tackle by Patrick Queen and Daryl Worley),3.660,3.970
2,7:40,1,10,BAL 24,0,7,Gardner Minshew pass complete short left to Josh Downs for 5 yards (tackle by Kyle Hamilton),3.970,4.120
2,6:56,2,5,BAL 19,0,7,Gardner Minshew pass complete short middle to Michael Pittman for 2 yards (tackle by Brandon Stephens),4.120,3.750
2,6:13,3,3,BAL 17,6,7,"Gardner Minshew pass complete short right to Zack Moss for 17 yards, touchdown",3.750,7.000
2,6:07,,,BAL 15,7,7,Matt Gay kicks extra point good,0.000,0.000
2,6:07,,,IND 35,7,7,"Matt Gay kicks off 61 yards, returned by Devin Duvernay for 20 yards (tackle by Grant Stuard)",0.000,0.540
2,6:03,1,10,BAL 24,7,7,"Lamar Jackson sacked by Taven Bryan for -5 yards. Lamar Jackson fumbles (forced by Taven Bryan), recovered by Kwity Paye at BAL-19 and returned for -5 yards",0.540,-4.310
